Mar  7 17:08:05 cs219-laptop kernel: [ 1026.955225] rraa: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  7 17:08:05 cs219-laptop kernel: [ 1027.041574] rraa: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  7 17:08:05 cs219-laptop kernel: [ 1027.041600] rraa: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  7 17:08:05 cs219-laptop kernel: [ 1027.075762] rraa: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  7 17:08:05 cs219-laptop kernel: [ 1027.190579] rraa: 06:20:a6:57:ff:32 : tx_count: 28, tx_rate: 6M, loss ratio: 71, window size: 6
Mar  7 17:08:05 cs219-laptop kernel: [ 1027.255090] rraa: 06:20:a6:57:ff:32 : tx_count: 34, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  7 17:08:06 cs219-laptop kernel: [ 1027.816263] rraa: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  7 17:08:06 cs219-laptop kernel: [ 1027.985045] rraa: 06:20:a6:57:ff:32 : tx_count: 99, tx_rate: 12M, loss ratio: 11, window size: 20
Mar  7 17:08:06 cs219-laptop kernel: [ 1028.209289] rraa: 06:20:a6:57:ff:32 : tx_count: 119, tx_rate: 18M, loss ratio: 16, window size: 20
Mar  7 17:08:07 cs219-laptop kernel: [ 1028.656460] rraa: 06:20:a6:57:ff:32 : tx_count: 159, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  7 17:08:07 cs219-laptop kernel: [ 1029.104441] rraa: 06:20:a6:57:ff:32 : tx_count: 199, tx_rate: 36M, loss ratio: 13, window size: 40
Mar  7 17:08:08 cs219-laptop kernel: [ 1029.552768] rraa: 06:20:a6:57:ff:32 : tx_count: 239, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:08:08 cs219-laptop kernel: [ 1030.003294] rraa: 06:20:a6:57:ff:32 : tx_count: 277, tx_rate: 36M, loss ratio: 75, window size: 40
Mar  7 17:08:10 cs219-laptop kernel: [ 1032.242730] rraa: 06:20:a6:57:ff:32 : tx_count: 477, tx_rate: 24M, loss ratio: 36, window size: 40
Mar  7 17:08:11 cs219-laptop kernel: [ 1033.139384] rraa: 06:20:a6:57:ff:32 : tx_count: 557, tx_rate: 36M, loss ratio: 13, window size: 40
Mar  7 17:08:12 cs219-laptop kernel: [ 1033.587713] rraa: 06:20:a6:57:ff:32 : tx_count: 594, tx_rate: 24M, loss ratio: 58, window size: 40
Mar  7 17:08:12 cs219-laptop kernel: [ 1034.036229] rraa: 06:20:a6:57:ff:32 : tx_count: 634, tx_rate: 36M, loss ratio: 13, window size: 40
Mar  7 17:08:13 cs219-laptop kernel: [ 1034.484365] rraa: 06:20:a6:57:ff:32 : tx_count: 674, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:08:13 cs219-laptop kernel: [ 1034.932854] rraa: 06:20:a6:57:ff:32 : tx_count: 714, tx_rate: 36M, loss ratio: 50, window size: 40
Mar  7 17:08:14 cs219-laptop kernel: [ 1035.381051] rraa: 06:20:a6:57:ff:32 : tx_count: 753, tx_rate: 24M, loss ratio: 49, window size: 40
Mar  7 17:08:14 cs219-laptop kernel: [ 1035.829355] rraa: 06:20:a6:57:ff:32 : tx_count: 793, tx_rate: 36M, loss ratio: 13, window size: 40
Mar  7 17:08:15 cs219-laptop kernel: [ 1036.277671] rraa: 06:20:a6:57:ff:32 : tx_count: 833, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:08:15 cs219-laptop kernel: [ 1036.727517] rraa: 06:20:a6:57:ff:32 : tx_count: 869, tx_rate: 36M, loss ratio: 73, window size: 40
Mar  7 17:08:16 cs219-laptop kernel: [ 1037.622653] rraa: 06:20:a6:57:ff:32 : tx_count: 949, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:08:16 cs219-laptop kernel: [ 1038.070981] rraa: 06:20:a6:57:ff:32 : tx_count: 987, tx_rate: 36M, loss ratio: 65, window size: 40
Mar  7 17:08:17 cs219-laptop kernel: [ 1038.519308] rraa: 06:20:a6:57:ff:32 : tx_count: 1027, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  7 17:08:17 cs219-laptop kernel: [ 1038.967643] rraa: 06:20:a6:57:ff:32 : tx_count: 1065, tx_rate: 36M, loss ratio: 61, window size: 40
Mar  7 17:08:18 cs219-laptop kernel: [ 1039.865687] rraa: 06:20:a6:57:ff:32 : tx_count: 1145, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:08:19 cs219-laptop kernel: [ 1040.312612] rraa: 06:20:a6:57:ff:32 : tx_count: 1180, tx_rate: 36M, loss ratio: 79, window size: 40
Mar  7 17:08:19 cs219-laptop kernel: [ 1041.209268] rraa: 06:20:a6:57:ff:32 : tx_count: 1248, tx_rate: 24M, loss ratio: 82, window size: 40
Mar  7 17:08:20 cs219-laptop kernel: [ 1041.702427] rraa: 06:20:a6:57:ff:32 : tx_count: 3, tx_rate: 48M, loss ratio: 99, window size: 40
Mar  7 17:08:20 cs219-laptop kernel: [ 1042.156594] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 36M, loss ratio: 95, window size: 40
Mar  7 17:08:21 cs219-laptop kernel: [ 1042.671682] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  7 17:08:21 cs219-laptop kernel: [ 1043.047406] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 18M, loss ratio: 100, window size: 20
Mar  7 17:08:22 cs219-laptop kernel: [ 1043.347115] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 12M, loss ratio: 100, window size: 20
Mar  7 17:08:22 cs219-laptop kernel: [ 1043.632619] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 11M, loss ratio: 100, window size: 15
Mar  7 17:08:22 cs219-laptop kernel: [ 1043.864990] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 9M, loss ratio: 100, window size: 10
Mar  7 17:08:22 cs219-laptop kernel: [ 1044.051332] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 6M, loss ratio: 100, window size: 6
Mar  7 17:08:22 cs219-laptop kernel: [ 1044.181541] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 5M, loss ratio: 100, window size: 6
Mar  7 17:08:23 cs219-laptop kernel: [ 1044.319536] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 2M, loss ratio: 100, window size: 6
Mar  7 17:08:23 cs219-laptop kernel: [ 1044.413795] rraa: 06:20:a6:57:ff:32 : tx_count: 17, tx_rate: 1M, loss ratio: 100, window size: 6
Mar  7 17:08:30 cs219-laptop kernel: [ 1045.328218] rraa: 06:20:a6:57:ff:32 : tx_count: 27, tx_rate: 2M, loss ratio: 33, window size: 6
Mar  7 17:08:30 cs219-laptop kernel: [ 1045.332649] rraa: 06:20:a6:57:ff:32 : tx_count: 33, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  7 17:08:30 cs219-laptop kernel: [ 1045.337560] rraa: 06:20:a6:57:ff:32 : tx_count: 39, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  7 17:08:30 cs219-laptop kernel: [ 1045.343954] rraa: 06:20:a6:57:ff:32 : tx_count: 45, tx_rate: 9M, loss ratio: 14, window size: 10
Mar  7 17:08:31 cs219-laptop kernel: [ 1045.352480] rraa: 06:20:a6:57:ff:32 : tx_count: 55, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  7 17:08:31 cs219-laptop kernel: [ 1045.365426] rraa: 06:20:a6:57:ff:32 : tx_count: 70, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  7 17:08:31 cs219-laptop kernel: [ 1045.374632] rraa: 06:20:a6:57:ff:32 : tx_count: 90, tx_rate: 11M, loss ratio: 44, window size: 15
Mar  7 17:08:31 cs219-laptop kernel: [ 1045.376987] rraa: 06:20:a6:57:ff:32 : tx_count: 105, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  7 17:08:31 cs219-laptop kernel: [ 1045.382517] rraa: 06:20:a6:57:ff:32 : tx_count: 145, tx_rate: 18M, loss ratio: 16, window size: 20
Mar  7 17:08:31 cs219-laptop kernel: [ 1045.408607] rraa: 06:20:a6:57:ff:32 : tx_count: 165, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  7 17:08:31 cs219-laptop kernel: [ 1045.679954] rraa: 06:20:a6:57:ff:32 : tx_count: 205, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  7 17:08:32 cs219-laptop kernel: [ 1046.599029] rraa: 06:20:a6:57:ff:32 : tx_count: 285, tx_rate: 24M, loss ratio: 42, window size: 40
Mar  7 17:08:33 cs219-laptop kernel: [ 1047.495927] rraa: 06:20:a6:57:ff:32 : tx_count: 365, tx_rate: 36M, loss ratio: 4, window size: 40
Mar  7 17:08:34 cs219-laptop kernel: [ 1047.944008] rraa: 06:20:a6:57:ff:32 : tx_count: 402, tx_rate: 24M, loss ratio: 76, window size: 40
Mar  7 17:08:34 cs219-laptop kernel: [ 1048.392433] rraa: 06:20:a6:57:ff:32 : tx_count: 442, tx_rate: 18M, loss ratio: 34, window size: 20
Mar  7 17:08:39 cs219-laptop kernel: [ 1049.130629] rraa: 06:20:a6:57:ff:32 : tx_count: 482, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  7 17:08:40 cs219-laptop kernel: [ 1049.580005] rraa: 06:20:a6:57:ff:32 : tx_count: 522, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  7 17:08:40 cs219-laptop kernel: [ 1050.036319] rraa: 06:20:a6:57:ff:32 : tx_count: 562, tx_rate: 24M, loss ratio: 42, window size: 40
