Mar  1 13:02:52 cs219-laptop kernel: [   36.175430] rraa: 06:20:a6:57:ff:32 : tx_count: 40, tx_rate: 2M, loss ratio: 22, window size: 6
Mar  1 13:02:52 cs219-laptop kernel: [   36.177242] rraa: 06:20:a6:57:ff:32 : tx_count: 46, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 13:02:52 cs219-laptop kernel: [   36.180334] rraa: 06:20:a6:57:ff:32 : tx_count: 52, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 13:02:52 cs219-laptop kernel: [   36.181680] rraa: 06:20:a6:57:ff:32 : tx_count: 58, tx_rate: 9M, loss ratio: 14, window size: 10
Mar  1 13:02:52 cs219-laptop kernel: [   36.184773] rraa: 06:20:a6:57:ff:32 : tx_count: 68, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 13:02:52 cs219-laptop kernel: [   36.188884] rraa: 06:20:a6:57:ff:32 : tx_count: 83, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 13:02:53 cs219-laptop kernel: [   36.192325] rraa: 06:20:a6:57:ff:32 : tx_count: 103, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 13:02:53 cs219-laptop kernel: [   36.193993] rraa: 06:20:a6:57:ff:32 : tx_count: 123, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 13:02:53 cs219-laptop kernel: [   36.200294] rraa: 06:20:a6:57:ff:32 : tx_count: 163, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 13:02:53 cs219-laptop kernel: [   36.202569] rraa: 06:20:a6:57:ff:32 : tx_count: 203, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 13:02:53 cs219-laptop kernel: [   36.204607] rraa: 06:20:a6:57:ff:32 : tx_count: 243, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:02:53 cs219-laptop kernel: [   36.238475] rraa: 06:20:a6:57:ff:32 : tx_count: 643, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:02:53 cs219-laptop kernel: [   36.240477] rraa: 06:20:a6:57:ff:32 : tx_count: 683, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:02:54 cs219-laptop kernel: [   36.282459] rraa: 06:20:a6:57:ff:32 : tx_count: 1563, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:02:54 cs219-laptop kernel: [   36.284394] rraa: 06:20:a6:57:ff:32 : tx_count: 1603, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:02:55 cs219-laptop kernel: [   36.393340] rraa: 06:20:a6:57:ff:32 : tx_count: 2843, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:02:55 cs219-laptop kernel: [   36.395849] rraa: 06:20:a6:57:ff:32 : tx_count: 2883, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:02:55 cs219-laptop kernel: [   36.496012] rraa: 06:20:a6:57:ff:32 : tx_count: 4123, tx_rate: 48M, loss ratio: 14, window size: 40
