Mar  1 18:59:45 cs219-laptop kernel: [  366.188908] rraac4: 06:20:a6:57:ff:32 : tx_count: 248872, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:01:08 cs219-laptop kernel: [  373.043953] rraa: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 19:01:08 cs219-laptop kernel: [  373.076742] rraa: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:01:08 cs219-laptop kernel: [  373.080460] rraa: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 19:01:08 cs219-laptop kernel: [  373.082143] rraa: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 14, window size: 10
Mar  1 19:01:08 cs219-laptop kernel: [  373.084909] rraa: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:01:08 cs219-laptop kernel: [  373.087614] rraa: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 19:01:08 cs219-laptop kernel: [  373.091449] rraa: 06:20:a6:57:ff:32 : tx_count: 64, tx_rate: 18M, loss ratio: 4, window size: 20
Mar  1 19:01:08 cs219-laptop kernel: [  373.095480] rraa: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 19:01:08 cs219-laptop kernel: [  373.103492] rraa: 06:20:a6:57:ff:32 : tx_count: 124, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 19:01:08 cs219-laptop kernel: [  373.108591] rraa: 06:20:a6:57:ff:32 : tx_count: 164, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:01:08 cs219-laptop kernel: [  373.113869] rraa: 06:20:a6:57:ff:32 : tx_count: 204, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:01:08 cs219-laptop kernel: [  373.122790] rraa: 06:20:a6:57:ff:32 : tx_count: 284, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:01:08 cs219-laptop kernel: [  373.127687] rraa: 06:20:a6:57:ff:32 : tx_count: 324, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:01:08 cs219-laptop kernel: [  373.141624] rraa: 06:20:a6:57:ff:32 : tx_count: 444, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:01:09 cs219-laptop kernel: [  373.178454] rraa: 06:20:a6:57:ff:32 : tx_count: 684, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:01:09 cs219-laptop kernel: [  373.182235] rraa: 06:20:a6:57:ff:32 : tx_count: 724, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:01:09 cs219-laptop kernel: [  373.201548] rraa: 06:20:a6:57:ff:32 : tx_count: 884, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:01:09 cs219-laptop kernel: [  373.269454] rraa: 06:20:a6:57:ff:32 : tx_count: 1364, tx_rate: 2M, loss ratio: 6, window size: 6
Mar  1 19:01:09 cs219-laptop kernel: [  373.270214] rraa: 06:20:a6:57:ff:32 : tx_count: 1370, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:01:09 cs219-laptop kernel: [  373.270867] rraa: 06:20:a6:57:ff:32 : tx_count: 1376, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 19:01:09 cs219-laptop kernel: [  373.271478] rraa: 06:20:a6:57:ff:32 : tx_count: 1382, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 19:01:09 cs219-laptop kernel: [  373.272817] rraa: 06:20:a6:57:ff:32 : tx_count: 1392, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:01:09 cs219-laptop kernel: [  373.274497] rraa: 06:20:a6:57:ff:32 : tx_count: 1407, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 19:01:09 cs219-laptop kernel: [  373.287233] rraa: 06:20:a6:57:ff:32 : tx_count: 1427, tx_rate: 18M, loss ratio: 4, window size: 20
Mar  1 19:01:09 cs219-laptop kernel: [  373.300691] rraa: 06:20:a6:57:ff:32 : tx_count: 1467, tx_rate: 24M, loss ratio: 4, window size: 40
