Mar  1 14:05:09 cs219-laptop kernel: [  153.735829] rraa: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 48M, loss ratio: 50, window size: 40
Mar  1 14:05:28 cs219-laptop kernel: [  155.182023] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 36M, loss ratio: 97, window size: 40
Mar  1 14:05:28 cs219-laptop kernel: [  155.213576] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 14:05:29 cs219-laptop kernel: [  155.238241] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 18M, loss ratio: 100, window size: 20
Mar  1 14:05:29 cs219-laptop kernel: [  155.253299] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 12M, loss ratio: 100, window size: 20
Mar  1 14:05:29 cs219-laptop kernel: [  155.267782] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 11M, loss ratio: 100, window size: 15
Mar  1 14:05:29 cs219-laptop kernel: [  155.305222] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 9M, loss ratio: 100, window size: 10
Mar  1 14:05:30 cs219-laptop kernel: [  155.316113] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 6M, loss ratio: 100, window size: 6
Mar  1 14:05:30 cs219-laptop kernel: [  155.322087] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 5M, loss ratio: 100, window size: 6
Mar  1 14:05:30 cs219-laptop kernel: [  155.327589] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 2M, loss ratio: 100, window size: 6
Mar  1 14:05:30 cs219-laptop kernel: [  155.336923] rraa: 06:20:a6:57:ff:32 : tx_count: 9, tx_rate: 1M, loss ratio: 100, window size: 6
Mar  1 14:05:32 cs219-laptop kernel: [  155.517414] rraa: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 14:05:32 cs219-laptop kernel: [  155.522834] rraa: 06:20:a6:57:ff:32 : tx_count: 31, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 14:05:32 cs219-laptop kernel: [  155.531497] rraa: 06:20:a6:57:ff:32 : tx_count: 37, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 14:05:32 cs219-laptop kernel: [  155.535650] rraa: 06:20:a6:57:ff:32 : tx_count: 43, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 14:05:33 cs219-laptop kernel: [  155.543549] rraa: 06:20:a6:57:ff:32 : tx_count: 53, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 14:05:33 cs219-laptop kernel: [  155.553070] rraa: 06:20:a6:57:ff:32 : tx_count: 68, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 14:05:33 cs219-laptop kernel: [  155.557077] rraa: 06:20:a6:57:ff:32 : tx_count: 88, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 14:05:33 cs219-laptop kernel: [  155.561735] rraa: 06:20:a6:57:ff:32 : tx_count: 108, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 14:05:33 cs219-laptop kernel: [  155.568276] rraa: 06:20:a6:57:ff:32 : tx_count: 148, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 14:05:33 cs219-laptop kernel: [  155.571965] rraa: 06:20:a6:57:ff:32 : tx_count: 188, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:05:33 cs219-laptop kernel: [  155.575766] rraa: 06:20:a6:57:ff:32 : tx_count: 228, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:05:33 cs219-laptop kernel: [  155.614358] rraa: 06:20:a6:57:ff:32 : tx_count: 588, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 14:05:33 cs219-laptop kernel: [  155.617957] rraa: 06:20:a6:57:ff:32 : tx_count: 628, tx_rate: 36M, loss ratio: 28, window size: 40
Mar  1 14:05:33 cs219-laptop kernel: [  155.624685] rraa: 06:20:a6:57:ff:32 : tx_count: 708, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 14:05:33 cs219-laptop kernel: [  155.628102] rraa: 06:20:a6:57:ff:32 : tx_count: 748, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:05:34 cs219-laptop kernel: [  155.707069] rraa: 06:20:a6:57:ff:32 : tx_count: 1428, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 14:05:34 cs219-laptop kernel: [  155.714057] rraa: 06:20:a6:57:ff:32 : tx_count: 1508, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:05:34 cs219-laptop kernel: [  155.754548] rraa: 06:20:a6:57:ff:32 : tx_count: 1828, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 14:05:34 cs219-laptop kernel: [  155.764787] rraa: 06:20:a6:57:ff:32 : tx_count: 1948, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:05:36 cs219-laptop kernel: [  156.086364] rraa: 06:20:a6:57:ff:32 : tx_count: 4788, tx_rate: 48M, loss ratio: 13, window size: 40
