Mar  1 19:37:54 cs219-laptop kernel: [   24.495064] rraa: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 2M, loss ratio: 25, window size: 6
Mar  1 19:37:54 cs219-laptop kernel: [   24.515815] rraa: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 5M, loss ratio: 14, window size: 6
Mar  1 19:37:54 cs219-laptop kernel: [   24.527651] rraa: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 6M, loss ratio: 14, window size: 6
Mar  1 19:37:54 cs219-laptop kernel: [   24.529941] rraa: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 19:37:54 cs219-laptop kernel: [   24.533886] rraa: 06:20:a6:57:ff:32 : tx_count: 35, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:37:54 cs219-laptop kernel: [   24.537734] rraa: 06:20:a6:57:ff:32 : tx_count: 50, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 19:37:54 cs219-laptop kernel: [   24.541426] rraa: 06:20:a6:57:ff:32 : tx_count: 70, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 19:37:54 cs219-laptop kernel: [   24.545798] rraa: 06:20:a6:57:ff:32 : tx_count: 90, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.552152] rraa: 06:20:a6:57:ff:32 : tx_count: 130, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.557649] rraa: 06:20:a6:57:ff:32 : tx_count: 170, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.563202] rraa: 06:20:a6:57:ff:32 : tx_count: 210, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.590596] rraa: 06:20:a6:57:ff:32 : tx_count: 450, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.595200] rraa: 06:20:a6:57:ff:32 : tx_count: 490, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.599961] rraa: 06:20:a6:57:ff:32 : tx_count: 530, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.630041] rraa: 06:20:a6:57:ff:32 : tx_count: 730, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.636496] rraa: 06:20:a6:57:ff:32 : tx_count: 770, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.645256] rraa: 06:20:a6:57:ff:32 : tx_count: 850, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:37:55 cs219-laptop kernel: [   24.669178] rraa: 06:20:a6:57:ff:32 : tx_count: 1090, tx_rate: 48M, loss ratio: 11, window size: 40
