Mar  1 15:00:11 cs219-laptop kernel: [  553.798706] rraa: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 15:00:12 cs219-laptop kernel: [  553.803306] rraa: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 15:00:12 cs219-laptop kernel: [  553.808418] rraa: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 15:00:12 cs219-laptop kernel: [  553.813029] rraa: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 15:00:12 cs219-laptop kernel: [  553.821635] rraa: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 15:00:12 cs219-laptop kernel: [  553.840102] rraa: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 15:00:12 cs219-laptop kernel: [  553.855295] rraa: 06:20:a6:57:ff:32 : tx_count: 64, tx_rate: 18M, loss ratio: 4, window size: 20
Mar  1 15:00:12 cs219-laptop kernel: [  553.859680] rraa: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 15:00:12 cs219-laptop kernel: [  553.870896] rraa: 06:20:a6:57:ff:32 : tx_count: 124, tx_rate: 18M, loss ratio: 34, window size: 20
Mar  1 15:00:12 cs219-laptop kernel: [  553.872818] rraa: 06:20:a6:57:ff:32 : tx_count: 144, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 15:00:13 cs219-laptop kernel: [  553.878084] rraa: 06:20:a6:57:ff:32 : tx_count: 184, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  1 15:00:13 cs219-laptop kernel: [  553.888253] rraa: 06:20:a6:57:ff:32 : tx_count: 264, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 15:00:13 cs219-laptop kernel: [  553.896316] rraa: 06:20:a6:57:ff:32 : tx_count: 292, tx_rate: 36M, loss ratio: 85, window size: 40
Mar  1 15:00:13 cs219-laptop kernel: [  553.905681] rraa: 06:20:a6:57:ff:32 : tx_count: 313, tx_rate: 24M, loss ratio: 91, window size: 40
Mar  1 15:00:13 cs219-laptop kernel: [  553.912308] rraa: 06:20:a6:57:ff:32 : tx_count: 393, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 15:00:13 cs219-laptop kernel: [  553.916309] rraa: 06:20:a6:57:ff:32 : tx_count: 433, tx_rate: 48M, loss ratio: 4, window size: 40
