Mar  1 20:25:55 cs219-laptop kernel: [  271.700097] rraa: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 20:26:27 cs219-laptop kernel: [  274.337394] rraa: 06:20:a6:57:ff:32 : tx_count: 12, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 20:26:27 cs219-laptop kernel: [  274.341169] rraa: 06:20:a6:57:ff:32 : tx_count: 18, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 20:26:27 cs219-laptop kernel: [  274.348820] rraa: 06:20:a6:57:ff:32 : tx_count: 24, tx_rate: 6M, loss ratio: 33, window size: 6
Mar  1 20:26:27 cs219-laptop kernel: [  274.348848] rraa: 06:20:a6:57:ff:32 : tx_count: 30, tx_rate: 9M, loss ratio: 14, window size: 10
Mar  1 20:26:27 cs219-laptop kernel: [  274.354689] rraa: 06:20:a6:57:ff:32 : tx_count: 50, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 20:26:27 cs219-laptop kernel: [  274.357404] rraa: 06:20:a6:57:ff:32 : tx_count: 65, tx_rate: 12M, loss ratio: 11, window size: 20
Mar  1 20:26:27 cs219-laptop kernel: [  274.371408] rraa: 06:20:a6:57:ff:32 : tx_count: 83, tx_rate: 11M, loss ratio: 73, window size: 15
Mar  1 20:26:27 cs219-laptop kernel: [  274.374949] rraa: 06:20:a6:57:ff:32 : tx_count: 98, tx_rate: 12M, loss ratio: 11, window size: 20
Mar  1 20:26:28 cs219-laptop kernel: [  274.378314] rraa: 06:20:a6:57:ff:32 : tx_count: 118, tx_rate: 18M, loss ratio: 9, window size: 20
Mar  1 20:26:28 cs219-laptop kernel: [  274.388522] rraa: 06:20:a6:57:ff:32 : tx_count: 158, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 20:26:28 cs219-laptop kernel: [  274.393733] rraa: 06:20:a6:57:ff:32 : tx_count: 198, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 20:26:28 cs219-laptop kernel: [  274.399371] rraa: 06:20:a6:57:ff:32 : tx_count: 238, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:28 cs219-laptop kernel: [  274.405942] rraa: 06:20:a6:57:ff:32 : tx_count: 278, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:28 cs219-laptop kernel: [  274.423796] rraa: 06:20:a6:57:ff:32 : tx_count: 398, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 20:26:28 cs219-laptop kernel: [  274.434487] rraa: 06:20:a6:57:ff:32 : tx_count: 438, tx_rate: 36M, loss ratio: 39, window size: 40
Mar  1 20:26:28 cs219-laptop kernel: [  274.445354] rraa: 06:20:a6:57:ff:32 : tx_count: 518, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.550460] rraa: 06:20:a6:57:ff:32 : tx_count: 798, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.560228] rraa: 06:20:a6:57:ff:32 : tx_count: 838, tx_rate: 48M, loss ratio: 31, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.573918] rraa: 06:20:a6:57:ff:32 : tx_count: 958, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.578072] rraa: 06:20:a6:57:ff:32 : tx_count: 998, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.607589] rraa: 06:20:a6:57:ff:32 : tx_count: 1038, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.617795] rraa: 06:20:a6:57:ff:32 : tx_count: 1118, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.621953] rraa: 06:20:a6:57:ff:32 : tx_count: 1158, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.657316] rraa: 06:20:a6:57:ff:32 : tx_count: 1358, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.666263] rraa: 06:20:a6:57:ff:32 : tx_count: 1398, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:29 cs219-laptop kernel: [  274.671583] rraa: 06:20:a6:57:ff:32 : tx_count: 1435, tx_rate: 48M, loss ratio: 60, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.693093] rraa: 06:20:a6:57:ff:32 : tx_count: 1555, tx_rate: 36M, loss ratio: 58, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.697021] rraa: 06:20:a6:57:ff:32 : tx_count: 1595, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.716257] rraa: 06:20:a6:57:ff:32 : tx_count: 1715, tx_rate: 36M, loss ratio: 34, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.729855] rraa: 06:20:a6:57:ff:32 : tx_count: 1795, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.739544] rraa: 06:20:a6:57:ff:32 : tx_count: 1875, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.749925] rraa: 06:20:a6:57:ff:32 : tx_count: 1915, tx_rate: 48M, loss ratio: 37, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.755993] rraa: 06:20:a6:57:ff:32 : tx_count: 1955, tx_rate: 36M, loss ratio: 41, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.794618] rraa: 06:20:a6:57:ff:32 : tx_count: 2075, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.809754] rraa: 06:20:a6:57:ff:32 : tx_count: 2195, tx_rate: 36M, loss ratio: 25, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.814542] rraa: 06:20:a6:57:ff:32 : tx_count: 2235, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.823671] rraa: 06:20:a6:57:ff:32 : tx_count: 2315, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:30 cs219-laptop kernel: [  274.832465] rraa: 06:20:a6:57:ff:32 : tx_count: 2395, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.876011] rraa: 06:20:a6:57:ff:32 : tx_count: 2515, tx_rate: 36M, loss ratio: 46, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.882327] rraa: 06:20:a6:57:ff:32 : tx_count: 2555, tx_rate: 24M, loss ratio: 37, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.886294] rraa: 06:20:a6:57:ff:32 : tx_count: 2595, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.892118] rraa: 06:20:a6:57:ff:32 : tx_count: 2635, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.896910] rraa: 06:20:a6:57:ff:32 : tx_count: 2675, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.917645] rraa: 06:20:a6:57:ff:32 : tx_count: 2875, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.921904] rraa: 06:20:a6:57:ff:32 : tx_count: 2915, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.929673] rraa: 06:20:a6:57:ff:32 : tx_count: 2995, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.934753] rraa: 06:20:a6:57:ff:32 : tx_count: 3035, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.938128] rraa: 06:20:a6:57:ff:32 : tx_count: 3075, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.946642] rraa: 06:20:a6:57:ff:32 : tx_count: 3155, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.964037] rraa: 06:20:a6:57:ff:32 : tx_count: 3315, tx_rate: 48M, loss ratio: 35, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.976840] rraa: 06:20:a6:57:ff:32 : tx_count: 3435, tx_rate: 36M, loss ratio: 28, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.981718] rraa: 06:20:a6:57:ff:32 : tx_count: 3475, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.994152] rraa: 06:20:a6:57:ff:32 : tx_count: 3595, tx_rate: 36M, loss ratio: 29, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.012891] rraa: 06:20:a6:57:ff:32 : tx_count: 3715, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.023411] rraa: 06:20:a6:57:ff:32 : tx_count: 3795, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.031677] rraa: 06:20:a6:57:ff:32 : tx_count: 3875, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.040032] rraa: 06:20:a6:57:ff:32 : tx_count: 3955, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.064943] rraa: 06:20:a6:57:ff:32 : tx_count: 4195, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.073562] rraa: 06:20:a6:57:ff:32 : tx_count: 4275, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.083167] rraa: 06:20:a6:57:ff:32 : tx_count: 4355, tx_rate: 48M, loss ratio: 27, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.092252] rraa: 06:20:a6:57:ff:32 : tx_count: 4435, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.105089] rraa: 06:20:a6:57:ff:32 : tx_count: 4555, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.109298] rraa: 06:20:a6:57:ff:32 : tx_count: 4595, tx_rate: 36M, loss ratio: 24, window size: 40
