Mar  1 19:48:48 cs219-laptop kernel: [   85.662612] rraac1: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 19:48:49 cs219-laptop kernel: [   85.668116] rraac1: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:48:49 cs219-laptop kernel: [   85.668145] rraac1: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 14, window size: 6
Mar  1 19:48:49 cs219-laptop kernel: [   85.671503] rraac1: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 14, window size: 10
Mar  1 19:48:49 cs219-laptop kernel: [   85.673550] rraac1: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:48:49 cs219-laptop kernel: [   85.677963] rraac1: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 19:48:49 cs219-laptop kernel: [   85.700976] rraac1: 06:20:a6:57:ff:32 : tx_count: 144, tx_rate: 18M, loss ratio: 4, window size: 20
Mar  1 19:48:49 cs219-laptop kernel: [   85.704197] rraac1: 06:20:a6:57:ff:32 : tx_count: 164, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 19:48:49 cs219-laptop kernel: [   85.711114] rraac1: 06:20:a6:57:ff:32 : tx_count: 204, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 19:48:49 cs219-laptop kernel: [   85.717315] rraac1: 06:20:a6:57:ff:32 : tx_count: 244, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:48:49 cs219-laptop kernel: [   85.737587] rraac1: 06:20:a6:57:ff:32 : tx_count: 404, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:49 cs219-laptop kernel: [   85.747544] rraac1: 06:20:a6:57:ff:32 : tx_count: 484, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:49 cs219-laptop kernel: [   85.799430] rraac1: 06:20:a6:57:ff:32 : tx_count: 804, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:50 cs219-laptop kernel: [   85.839444] rraac1: 06:20:a6:57:ff:32 : tx_count: 1124, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 19:48:50 cs219-laptop kernel: [   85.850054] rraac1: 06:20:a6:57:ff:32 : tx_count: 1204, tx_rate: 54M, loss ratio: 2, window size: 40
