Mar  1 19:24:05 cs219-laptop kernel: [  499.704614] rraac3: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 19:24:05 cs219-laptop kernel: [  499.721322] rraac3: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:24:05 cs219-laptop kernel: [  499.723840] rraac3: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 19:24:05 cs219-laptop kernel: [  499.726422] rraac3: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 19:24:05 cs219-laptop kernel: [  499.729066] rraac3: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 9, window size: 15
Mar  1 19:24:05 cs219-laptop kernel: [  499.732997] rraac3: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 19:24:05 cs219-laptop kernel: [  499.736750] rraac3: 06:20:a6:57:ff:32 : tx_count: 64, tx_rate: 18M, loss ratio: 13, window size: 20
Mar  1 19:24:05 cs219-laptop kernel: [  499.740286] rraac3: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 24M, loss ratio: 13, window size: 40
Mar  1 19:24:05 cs219-laptop kernel: [  499.746863] rraac3: 06:20:a6:57:ff:32 : tx_count: 124, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 19:24:05 cs219-laptop kernel: [  499.753262] rraac3: 06:20:a6:57:ff:32 : tx_count: 164, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.766839] rraac3: 06:20:a6:57:ff:32 : tx_count: 244, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.777925] rraac3: 06:20:a6:57:ff:32 : tx_count: 324, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.782101] rraac3: 06:20:a6:57:ff:32 : tx_count: 364, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.795801] rraac3: 06:20:a6:57:ff:32 : tx_count: 484, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.833261] rraac3: 06:20:a6:57:ff:32 : tx_count: 764, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.847646] rraac3: 06:20:a6:57:ff:32 : tx_count: 884, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.855117] rraac3: 06:20:a6:57:ff:32 : tx_count: 924, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 19:24:06 cs219-laptop kernel: [  499.859412] rraac3: 06:20:a6:57:ff:32 : tx_count: 964, tx_rate: 48M, loss ratio: 9, window size: 40
