Mar  1 20:00:11 cs219-laptop kernel: [  147.043852] rraac3: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 20:00:11 cs219-laptop kernel: [  147.053798] rraac3: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 20:00:11 cs219-laptop kernel: [  147.064453] rraac3: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 20:00:11 cs219-laptop kernel: [  147.065916] rraac3: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 14, window size: 10
Mar  1 20:00:11 cs219-laptop kernel: [  147.068932] rraac3: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 20:00:11 cs219-laptop kernel: [  147.074362] rraac3: 06:20:a6:57:ff:32 : tx_count: 59, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 20:00:11 cs219-laptop kernel: [  147.077930] rraac3: 06:20:a6:57:ff:32 : tx_count: 79, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 20:00:11 cs219-laptop kernel: [  147.082897] rraac3: 06:20:a6:57:ff:32 : tx_count: 99, tx_rate: 24M, loss ratio: 13, window size: 40
Mar  1 20:00:11 cs219-laptop kernel: [  147.089734] rraac3: 06:20:a6:57:ff:32 : tx_count: 139, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 20:00:11 cs219-laptop kernel: [  147.094530] rraac3: 06:20:a6:57:ff:32 : tx_count: 179, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:00:11 cs219-laptop kernel: [  147.122479] rraac3: 06:20:a6:57:ff:32 : tx_count: 379, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:00:11 cs219-laptop kernel: [  147.131766] rraac3: 06:20:a6:57:ff:32 : tx_count: 459, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.158824] rraac3: 06:20:a6:57:ff:32 : tx_count: 659, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.163457] rraac3: 06:20:a6:57:ff:32 : tx_count: 699, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.171728] rraac3: 06:20:a6:57:ff:32 : tx_count: 739, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.204860] rraac3: 06:20:a6:57:ff:32 : tx_count: 1059, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.208862] rraac3: 06:20:a6:57:ff:32 : tx_count: 1099, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.251373] rraac3: 06:20:a6:57:ff:32 : tx_count: 1219, tx_rate: 48M, loss ratio: 24, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.258160] rraac3: 06:20:a6:57:ff:32 : tx_count: 1259, tx_rate: 36M, loss ratio: 25, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.262614] rraac3: 06:20:a6:57:ff:32 : tx_count: 1299, tx_rate: 24M, loss ratio: 39, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.287028] rraac3: 06:20:a6:57:ff:32 : tx_count: 1379, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.290898] rraac3: 06:20:a6:57:ff:32 : tx_count: 1419, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.307161] rraac3: 06:20:a6:57:ff:32 : tx_count: 1539, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:00:12 cs219-laptop kernel: [  147.383373] rraac3: 06:20:a6:57:ff:32 : tx_count: 2019, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:00:13 cs219-laptop kernel: [  147.391694] rraac3: 06:20:a6:57:ff:32 : tx_count: 2099, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:00:13 cs219-laptop kernel: [  147.420742] rraac3: 06:20:a6:57:ff:32 : tx_count: 2379, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:00:13 cs219-laptop kernel: [  147.437665] rraac3: 06:20:a6:57:ff:32 : tx_count: 2499, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 20:00:13 cs219-laptop kernel: [  147.445636] rraac3: 06:20:a6:57:ff:32 : tx_count: 2539, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:00:13 cs219-laptop kernel: [  147.457511] rraac3: 06:20:a6:57:ff:32 : tx_count: 2619, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:00:14 cs219-laptop kernel: [  147.521673] rraac3: 06:20:a6:57:ff:32 : tx_count: 3179, tx_rate: 48M, loss ratio: 23, window size: 40
