Mar  1 20:57:51 cs219-laptop kernel: [   71.489467] rraac3: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.494210] rraac3: 06:20:a6:57:ff:32 : tx_count: 81, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.500139] rraac3: 06:20:a6:57:ff:32 : tx_count: 121, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.504550] rraac3: 06:20:a6:57:ff:32 : tx_count: 161, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.532299] rraac3: 06:20:a6:57:ff:32 : tx_count: 401, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.537963] rraac3: 06:20:a6:57:ff:32 : tx_count: 441, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.542772] rraac3: 06:20:a6:57:ff:32 : tx_count: 481, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.555827] rraac3: 06:20:a6:57:ff:32 : tx_count: 601, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:57:51 cs219-laptop kernel: [   71.559913] rraac3: 06:20:a6:57:ff:32 : tx_count: 641, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:57:52 cs219-laptop kernel: [   71.643337] rraac3: 06:20:a6:57:ff:32 : tx_count: 681, tx_rate: 36M, loss ratio: 31, window size: 40
Mar  1 20:57:52 cs219-laptop kernel: [   71.648441] rraac3: 06:20:a6:57:ff:32 : tx_count: 721, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:57:52 cs219-laptop kernel: [   71.671423] rraac3: 06:20:a6:57:ff:32 : tx_count: 841, tx_rate: 36M, loss ratio: 34, window size: 40
Mar  1 20:57:52 cs219-laptop kernel: [   71.675989] rraac3: 06:20:a6:57:ff:32 : tx_count: 881, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 20:57:52 cs219-laptop kernel: [   71.702425] rraac3: 06:20:a6:57:ff:32 : tx_count: 1001, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:52 cs219-laptop kernel: [   71.717271] rraac3: 06:20:a6:57:ff:32 : tx_count: 1121, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:57:52 cs219-laptop kernel: [   71.721147] rraac3: 06:20:a6:57:ff:32 : tx_count: 1161, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:53 cs219-laptop kernel: [   71.745597] rraac3: 06:20:a6:57:ff:32 : tx_count: 1361, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:57:53 cs219-laptop kernel: [   71.750514] rraac3: 06:20:a6:57:ff:32 : tx_count: 1401, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:57:53 cs219-laptop kernel: [   71.758658] rraac3: 06:20:a6:57:ff:32 : tx_count: 1481, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:53 cs219-laptop kernel: [   71.767025] rraac3: 06:20:a6:57:ff:32 : tx_count: 1561, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:57:53 cs219-laptop kernel: [   71.801049] rraac3: 06:20:a6:57:ff:32 : tx_count: 1841, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:57:53 cs219-laptop kernel: [   71.804932] rraac3: 06:20:a6:57:ff:32 : tx_count: 1881, tx_rate: 54M, loss ratio: 2, window size: 40
