Mar  1 16:15:46 cs219-laptop kernel: [  923.703487] rraac3: 06:20:a6:57:ff:32 : tx_count: 54385, tx_rate: 18M, loss ratio: 54, window size: 20
Mar  1 16:15:46 cs219-laptop kernel: [  923.704896] rraac3: 06:20:a6:57:ff:32 : tx_count: 54405, tx_rate: 12M, loss ratio: 53, window size: 20
Mar  1 16:15:46 cs219-laptop kernel: [  923.706634] rraac3: 06:20:a6:57:ff:32 : tx_count: 54425, tx_rate: 11M, loss ratio: 31, window size: 15
Mar  1 16:15:46 cs219-laptop kernel: [  923.709545] rraac3: 06:20:a6:57:ff:32 : tx_count: 54455, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 16:15:46 cs219-laptop kernel: [  923.711217] rraac3: 06:20:a6:57:ff:32 : tx_count: 54475, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 16:15:46 cs219-laptop kernel: [  923.712644] rraac3: 06:20:a6:57:ff:32 : tx_count: 54495, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 16:16:52 cs219-laptop kernel: [  935.337759] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar  1 16:16:52 cs219-laptop kernel: [  935.353951] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 16:16:52 cs219-laptop kernel: [  935.369188] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 16:16:52 cs219-laptop kernel: [  935.376791] rraac4: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 18M, loss ratio: 87, window size: 20
Mar  1 16:16:52 cs219-laptop kernel: [  935.378547] rraac4: 06:20:a6:57:ff:32 : tx_count: 45, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 16:16:52 cs219-laptop kernel: [  935.382138] rraac4: 06:20:a6:57:ff:32 : tx_count: 85, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 16:16:52 cs219-laptop kernel: [  935.385651] rraac4: 06:20:a6:57:ff:32 : tx_count: 125, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 16:16:52 cs219-laptop kernel: [  935.392118] rraac4: 06:20:a6:57:ff:32 : tx_count: 163, tx_rate: 36M, loss ratio: 62, window size: 40
Mar  1 16:16:53 cs219-laptop kernel: [  935.404309] rraac4: 06:20:a6:57:ff:32 : tx_count: 169, tx_rate: 24M, loss ratio: 98, window size: 40
Mar  1 16:16:53 cs219-laptop kernel: [  935.407428] rraac4: 06:20:a6:57:ff:32 : tx_count: 209, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 16:16:53 cs219-laptop kernel: [  935.410364] rraac4: 06:20:a6:57:ff:32 : tx_count: 249, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 16:16:53 cs219-laptop kernel: [  935.413676] rraac4: 06:20:a6:57:ff:32 : tx_count: 289, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 16:16:53 cs219-laptop kernel: [  935.429914] rraac4: 06:20:a6:57:ff:32 : tx_count: 295, tx_rate: 48M, loss ratio: 98, window size: 40
Mar  1 16:16:53 cs219-laptop kernel: [  935.451427] rraac4: 06:20:a6:57:ff:32 : tx_count: 317, tx_rate: 36M, loss ratio: 92, window size: 40
Mar  1 16:16:53 cs219-laptop kernel: [  935.487274] rraac4: 06:20:a6:57:ff:32 : tx_count: 335, tx_rate: 24M, loss ratio: 94, window size: 40
Mar  1 16:16:54 cs219-laptop kernel: [  935.494384] rraac4: 06:20:a6:57:ff:32 : tx_count: 369, tx_rate: 18M, loss ratio: 76, window size: 20
Mar  1 16:16:54 cs219-laptop kernel: [  935.496148] rraac4: 06:20:a6:57:ff:32 : tx_count: 389, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 16:16:54 cs219-laptop kernel: [  935.500239] rraac4: 06:20:a6:57:ff:32 : tx_count: 429, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 16:16:54 cs219-laptop kernel: [  935.504026] rraac4: 06:20:a6:57:ff:32 : tx_count: 469, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 16:16:54 cs219-laptop kernel: [  935.507557] rraac4: 06:20:a6:57:ff:32 : tx_count: 509, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 16:16:54 cs219-laptop kernel: [  935.522016] rraac4: 06:20:a6:57:ff:32 : tx_count: 536, tx_rate: 48M, loss ratio: 89, window size: 40
Mar  1 16:16:54 cs219-laptop kernel: [  935.543637] rraac4: 06:20:a6:57:ff:32 : tx_count: 536, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 16:16:54 cs219-laptop kernel: [  935.558772] rraac4: 06:20:a6:57:ff:32 : tx_count: 539, tx_rate: 24M, loss ratio: 99, window size: 40
Mar  1 16:16:55 cs219-laptop kernel: [  935.566755] rraac4: 06:20:a6:57:ff:32 : tx_count: 564, tx_rate: 18M, loss ratio: 88, window size: 20
Mar  1 16:16:55 cs219-laptop kernel: [  935.570683] rraac4: 06:20:a6:57:ff:32 : tx_count: 584, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 16:16:55 cs219-laptop kernel: [  935.576766] rraac4: 06:20:a6:57:ff:32 : tx_count: 624, tx_rate: 36M, loss ratio: 14, window size: 40
