Mar  1 21:03:49 cs219-laptop kernel: [  102.066676] rraac4: 06:20:a6:57:ff:32 : tx_count: 40, tx_rate: 48M, loss ratio: 30, window size: 40
Mar  1 21:03:49 cs219-laptop kernel: [  102.082673] rraac4: 06:20:a6:57:ff:32 : tx_count: 160, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.144810] rraac4: 06:20:a6:57:ff:32 : tx_count: 440, tx_rate: 48M, loss ratio: 27, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.175244] rraac4: 06:20:a6:57:ff:32 : tx_count: 680, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.180159] rraac4: 06:20:a6:57:ff:32 : tx_count: 720, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.190078] rraac4: 06:20:a6:57:ff:32 : tx_count: 800, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.194473] rraac4: 06:20:a6:57:ff:32 : tx_count: 840, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.236792] rraac4: 06:20:a6:57:ff:32 : tx_count: 1200, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.264656] rraac4: 06:20:a6:57:ff:32 : tx_count: 1440, tx_rate: 48M, loss ratio: 28, window size: 40
Mar  1 21:03:50 cs219-laptop kernel: [  102.269035] rraac4: 06:20:a6:57:ff:32 : tx_count: 1480, tx_rate: 36M, loss ratio: 34, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.281153] rraac4: 06:20:a6:57:ff:32 : tx_count: 1560, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.290815] rraac4: 06:20:a6:57:ff:32 : tx_count: 1640, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.353484] rraac4: 06:20:a6:57:ff:32 : tx_count: 2000, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.358562] rraac4: 06:20:a6:57:ff:32 : tx_count: 2040, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.393610] rraac4: 06:20:a6:57:ff:32 : tx_count: 2200, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.402265] rraac4: 06:20:a6:57:ff:32 : tx_count: 2280, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.415122] rraac4: 06:20:a6:57:ff:32 : tx_count: 2400, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.419766] rraac4: 06:20:a6:57:ff:32 : tx_count: 2440, tx_rate: 36M, loss ratio: 33, window size: 40
Mar  1 21:03:51 cs219-laptop kernel: [  102.448638] rraac4: 06:20:a6:57:ff:32 : tx_count: 2600, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.453744] rraac4: 06:20:a6:57:ff:32 : tx_count: 2640, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.500224] rraac4: 06:20:a6:57:ff:32 : tx_count: 2880, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.508966] rraac4: 06:20:a6:57:ff:32 : tx_count: 2960, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.542070] rraac4: 06:20:a6:57:ff:32 : tx_count: 3120, tx_rate: 48M, loss ratio: 29, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.552778] rraac4: 06:20:a6:57:ff:32 : tx_count: 3160, tx_rate: 36M, loss ratio: 39, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.557579] rraac4: 06:20:a6:57:ff:32 : tx_count: 3200, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.565249] rraac4: 06:20:a6:57:ff:32 : tx_count: 3280, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:52 cs219-laptop kernel: [  102.613976] rraac4: 06:20:a6:57:ff:32 : tx_count: 3760, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.625662] rraac4: 06:20:a6:57:ff:32 : tx_count: 3880, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.650236] rraac4: 06:20:a6:57:ff:32 : tx_count: 4120, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.655252] rraac4: 06:20:a6:57:ff:32 : tx_count: 4160, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.683777] rraac4: 06:20:a6:57:ff:32 : tx_count: 4400, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.697822] rraac4: 06:20:a6:57:ff:32 : tx_count: 4520, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.718705] rraac4: 06:20:a6:57:ff:32 : tx_count: 4680, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.746391] rraac4: 06:20:a6:57:ff:32 : tx_count: 4920, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.751655] rraac4: 06:20:a6:57:ff:32 : tx_count: 4960, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.763434] rraac4: 06:20:a6:57:ff:32 : tx_count: 5080, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:53 cs219-laptop kernel: [  102.771080] rraac4: 06:20:a6:57:ff:32 : tx_count: 5120, tx_rate: 48M, loss ratio: 42, window size: 40
Mar  1 21:03:54 cs219-laptop kernel: [  102.776328] rraac4: 06:20:a6:57:ff:32 : tx_count: 5160, tx_rate: 36M, loss ratio: 40, window size: 40
Mar  1 21:03:54 cs219-laptop kernel: [  102.781454] rraac4: 06:20:a6:57:ff:32 : tx_count: 5200, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 21:03:54 cs219-laptop kernel: [  102.822259] rraac4: 06:20:a6:57:ff:32 : tx_count: 5520, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:54 cs219-laptop kernel: [  102.830634] rraac4: 06:20:a6:57:ff:32 : tx_count: 5560, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 21:03:54 cs219-laptop kernel: [  102.847077] rraac4: 06:20:a6:57:ff:32 : tx_count: 5720, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 21:03:55 cs219-laptop kernel: [  102.920127] rraac4: 06:20:a6:57:ff:32 : tx_count: 6400, tx_rate: 48M, loss ratio: 25, window size: 40
Mar  1 21:03:55 cs219-laptop kernel: [  102.924187] rraac4: 06:20:a6:57:ff:32 : tx_count: 6440, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 21:03:55 cs219-laptop kernel: [  102.952323] rraac4: 06:20:a6:57:ff:32 : tx_count: 6720, tx_rate: 48M, loss ratio: 16, window size: 40
