Mar  1 19:28:58 cs219-laptop kernel: [  528.763954] rraac4: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 19:28:58 cs219-laptop kernel: [  528.778200] rraac4: 06:20:a6:57:ff:32 : tx_count: 7, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:28:58 cs219-laptop kernel: [  528.781286] rraac4: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 6M, loss ratio: 25, window size: 6
Mar  1 19:28:58 cs219-laptop kernel: [  528.781312] rraac4: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 9M, loss ratio: 14, window size: 10
Mar  1 19:28:58 cs219-laptop kernel: [  528.784464] rraac4: 06:20:a6:57:ff:32 : tx_count: 29, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:28:58 cs219-laptop kernel: [  528.787839] rraac4: 06:20:a6:57:ff:32 : tx_count: 44, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 19:28:58 cs219-laptop kernel: [  528.790945] rraac4: 06:20:a6:57:ff:32 : tx_count: 64, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 19:28:58 cs219-laptop kernel: [  528.795002] rraac4: 06:20:a6:57:ff:32 : tx_count: 84, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 19:28:58 cs219-laptop kernel: [  528.801001] rraac4: 06:20:a6:57:ff:32 : tx_count: 124, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 19:28:58 cs219-laptop kernel: [  528.805726] rraac4: 06:20:a6:57:ff:32 : tx_count: 164, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:28:58 cs219-laptop kernel: [  528.811561] rraac4: 06:20:a6:57:ff:32 : tx_count: 204, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:28:59 cs219-laptop kernel: [  528.886986] rraac4: 06:20:a6:57:ff:32 : tx_count: 764, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 19:28:59 cs219-laptop kernel: [  528.894080] rraac4: 06:20:a6:57:ff:32 : tx_count: 804, tx_rate: 36M, loss ratio: 33, window size: 40
Mar  1 19:28:59 cs219-laptop kernel: [  528.909651] rraac4: 06:20:a6:57:ff:32 : tx_count: 844, tx_rate: 2M, loss ratio: 9, window size: 6
Mar  1 19:28:59 cs219-laptop kernel: [  528.911695] rraac4: 06:20:a6:57:ff:32 : tx_count: 850, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 19:28:59 cs219-laptop kernel: [  528.912497] rraac4: 06:20:a6:57:ff:32 : tx_count: 856, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 19:28:59 cs219-laptop kernel: [  528.914736] rraac4: 06:20:a6:57:ff:32 : tx_count: 862, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 19:28:59 cs219-laptop kernel: [  528.927821] rraac4: 06:20:a6:57:ff:32 : tx_count: 872, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 19:28:59 cs219-laptop kernel: [  528.941574] rraac4: 06:20:a6:57:ff:32 : tx_count: 887, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 19:29:00 cs219-laptop kernel: [  528.960004] rraac4: 06:20:a6:57:ff:32 : tx_count: 907, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 19:29:00 cs219-laptop kernel: [  528.968332] rraac4: 06:20:a6:57:ff:32 : tx_count: 927, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 19:29:00 cs219-laptop kernel: [  528.976999] rraac4: 06:20:a6:57:ff:32 : tx_count: 967, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 19:29:00 cs219-laptop kernel: [  528.982817] rraac4: 06:20:a6:57:ff:32 : tx_count: 1007, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:29:00 cs219-laptop kernel: [  528.988804] rraac4: 06:20:a6:57:ff:32 : tx_count: 1047, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:00 cs219-laptop kernel: [  529.052811] rraac4: 06:20:a6:57:ff:32 : tx_count: 1607, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:29:01 cs219-laptop kernel: [  529.062312] rraac4: 06:20:a6:57:ff:32 : tx_count: 1687, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:01 cs219-laptop kernel: [  529.132120] rraac4: 06:20:a6:57:ff:32 : tx_count: 2327, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:29:01 cs219-laptop kernel: [  529.140673] rraac4: 06:20:a6:57:ff:32 : tx_count: 2407, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:01 cs219-laptop kernel: [  529.154324] rraac4: 06:20:a6:57:ff:32 : tx_count: 2487, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:29:01 cs219-laptop kernel: [  529.170812] rraac4: 06:20:a6:57:ff:32 : tx_count: 2607, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:01 cs219-laptop kernel: [  529.187321] rraac4: 06:20:a6:57:ff:32 : tx_count: 2727, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 19:29:02 cs219-laptop kernel: [  529.191691] rraac4: 06:20:a6:57:ff:32 : tx_count: 2767, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:02 cs219-laptop kernel: [  529.270023] rraac4: 06:20:a6:57:ff:32 : tx_count: 3487, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:29:02 cs219-laptop kernel: [  529.281141] rraac4: 06:20:a6:57:ff:32 : tx_count: 3567, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:02 cs219-laptop kernel: [  529.335208] rraac4: 06:20:a6:57:ff:32 : tx_count: 4087, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:29:03 cs219-laptop kernel: [  529.347231] rraac4: 06:20:a6:57:ff:32 : tx_count: 4167, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:03 cs219-laptop kernel: [  529.408205] rraac4: 06:20:a6:57:ff:32 : tx_count: 4647, tx_rate: 48M, loss ratio: 25, window size: 40
Mar  1 19:29:03 cs219-laptop kernel: [  529.444685] rraac4: 06:20:a6:57:ff:32 : tx_count: 4967, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:03 cs219-laptop kernel: [  529.478831] rraac4: 06:20:a6:57:ff:32 : tx_count: 5247, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:29:03 cs219-laptop kernel: [  529.492636] rraac4: 06:20:a6:57:ff:32 : tx_count: 5367, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:04 cs219-laptop kernel: [  529.561192] rraac4: 06:20:a6:57:ff:32 : tx_count: 5687, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:29:04 cs219-laptop kernel: [  529.565762] rraac4: 06:20:a6:57:ff:32 : tx_count: 5727, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:04 cs219-laptop kernel: [  529.585478] rraac4: 06:20:a6:57:ff:32 : tx_count: 5887, tx_rate: 48M, loss ratio: 33, window size: 40
Mar  1 19:29:04 cs219-laptop kernel: [  529.607442] rraac4: 06:20:a6:57:ff:32 : tx_count: 6047, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:04 cs219-laptop kernel: [  529.697397] rraac4: 06:20:a6:57:ff:32 : tx_count: 6607, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:29:05 cs219-laptop kernel: [  529.719942] rraac4: 06:20:a6:57:ff:32 : tx_count: 6767, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:05 cs219-laptop kernel: [  529.800887] rraac4: 06:20:a6:57:ff:32 : tx_count: 7527, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:29:05 cs219-laptop kernel: [  529.809749] rraac4: 06:20:a6:57:ff:32 : tx_count: 7607, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:05 cs219-laptop kernel: [  529.850182] rraac4: 06:20:a6:57:ff:32 : tx_count: 7967, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:29:05 cs219-laptop kernel: [  529.858036] rraac4: 06:20:a6:57:ff:32 : tx_count: 8047, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:06 cs219-laptop kernel: [  529.937506] rraac4: 06:20:a6:57:ff:32 : tx_count: 8767, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:29:06 cs219-laptop kernel: [  529.947011] rraac4: 06:20:a6:57:ff:32 : tx_count: 8847, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:06 cs219-laptop kernel: [  529.964900] rraac4: 06:20:a6:57:ff:32 : tx_count: 8967, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 19:29:06 cs219-laptop kernel: [  529.981368] rraac4: 06:20:a6:57:ff:32 : tx_count: 9087, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:29:07 cs219-laptop kernel: [  530.079349] rraac4: 06:20:a6:57:ff:32 : tx_count: 9967, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:29:07 cs219-laptop kernel: [  530.088902] rraac4: 06:20:a6:57:ff:32 : tx_count: 10047, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:08 cs219-laptop kernel: [  530.224965] rraac4: 06:20:a6:57:ff:32 : tx_count: 11207, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:29:08 cs219-laptop kernel: [  530.234744] rraac4: 06:20:a6:57:ff:32 : tx_count: 11287, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:09 cs219-laptop kernel: [  530.341030] rraac4: 06:20:a6:57:ff:32 : tx_count: 12327, tx_rate: 48M, loss ratio: 29, window size: 40
Mar  1 19:29:09 cs219-laptop kernel: [  530.367899] rraac4: 06:20:a6:57:ff:32 : tx_count: 12527, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:09 cs219-laptop kernel: [  530.425648] rraac4: 06:20:a6:57:ff:32 : tx_count: 13047, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 19:29:10 cs219-laptop kernel: [  530.442389] rraac4: 06:20:a6:57:ff:32 : tx_count: 13167, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:11 cs219-laptop kernel: [  530.646946] rraac4: 06:20:a6:57:ff:32 : tx_count: 14927, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:29:11 cs219-laptop kernel: [  530.650988] rraac4: 06:20:a6:57:ff:32 : tx_count: 14967, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:29:11 cs219-laptop kernel: [  530.665849] rraac4: 06:20:a6:57:ff:32 : tx_count: 15087, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 19:29:11 cs219-laptop kernel: [  530.692668] rraac4: 06:20:a6:57:ff:32 : tx_count: 15327, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:12 cs219-laptop kernel: [  530.773434] rraac4: 06:20:a6:57:ff:32 : tx_count: 15967, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:29:12 cs219-laptop kernel: [  530.777161] rraac4: 06:20:a6:57:ff:32 : tx_count: 16007, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:13 cs219-laptop kernel: [  530.937941] rraac4: 06:20:a6:57:ff:32 : tx_count: 17367, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:29:13 cs219-laptop kernel: [  530.954072] rraac4: 06:20:a6:57:ff:32 : tx_count: 17487, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:14 cs219-laptop kernel: [  531.063412] rraac4: 06:20:a6:57:ff:32 : tx_count: 18527, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 19:29:14 cs219-laptop kernel: [  531.082176] rraac4: 06:20:a6:57:ff:32 : tx_count: 18647, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:29:14 cs219-laptop kernel: [  531.144956] rraac4: 06:20:a6:57:ff:32 : tx_count: 19247, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:29:14 cs219-laptop kernel: [  531.152442] rraac4: 06:20:a6:57:ff:32 : tx_count: 19287, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:29:14 cs219-laptop kernel: [  531.160122] rraac4: 06:20:a6:57:ff:32 : tx_count: 19327, tx_rate: 48M, loss ratio: 20, window size: 40
