Mar  7 16:44:00 cs219-laptop kernel: [  180.653642] rraac4: 06:20:a6:57:ff:32 : tx_count: 5, tx_rate: 48M, loss ratio: 99, window size: 40
Mar  7 16:44:01 cs219-laptop kernel: [  181.102529] rraac4: 06:20:a6:57:ff:32 : tx_count: 36, tx_rate: 36M, loss ratio: 86, window size: 40
Mar  7 16:44:02 cs219-laptop kernel: [  182.895279] rraac4: 06:20:a6:57:ff:32 : tx_count: 196, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 16:44:03 cs219-laptop kernel: [  183.343605] rraac4: 06:20:a6:57:ff:32 : tx_count: 231, tx_rate: 36M, loss ratio: 81, window size: 40
Mar  7 16:44:03 cs219-laptop kernel: [  183.791930] rraac4: 06:20:a6:57:ff:32 : tx_count: 271, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 16:44:04 cs219-laptop kernel: [  184.267214] rraac4: 06:20:a6:57:ff:32 : tx_count: 281, tx_rate: 36M, loss ratio: 97, window size: 40
Mar  7 16:44:05 cs219-laptop kernel: [  185.585239] rraac4: 06:20:a6:57:ff:32 : tx_count: 399, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 16:44:06 cs219-laptop kernel: [  186.033565] rraac4: 06:20:a6:57:ff:32 : tx_count: 418, tx_rate: 36M, loss ratio: 94, window size: 40
Mar  7 16:44:15 cs219-laptop kernel: [  195.476833] rraac4: 06:20:a6:57:ff:32 : tx_count: 1258, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 16:44:16 cs219-laptop kernel: [  195.919172] rraac4: 06:20:a6:57:ff:32 : tx_count: 1280, tx_rate: 36M, loss ratio: 92, window size: 40
Mar  7 16:44:19 cs219-laptop kernel: [  199.059651] rraac4: 06:20:a6:57:ff:32 : tx_count: 1560, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 16:44:19 cs219-laptop kernel: [  199.505787] rraac4: 06:20:a6:57:ff:32 : tx_count: 1592, tx_rate: 36M, loss ratio: 86, window size: 40
Mar  7 16:44:25 cs219-laptop kernel: [  200.719436] rraac4: 06:20:a6:57:ff:32 : tx_count: 1672, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 16:44:25 cs219-laptop kernel: [  201.167761] rraac4: 06:20:a6:57:ff:32 : tx_count: 1677, tx_rate: 36M, loss ratio: 98, window size: 40
Mar  7 16:44:30 cs219-laptop kernel: [  205.651032] rraac4: 06:20:a6:57:ff:32 : tx_count: 2074, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 16:44:30 cs219-laptop kernel: [  206.099358] rraac4: 06:20:a6:57:ff:32 : tx_count: 2075, tx_rate: 36M, loss ratio: 99, window size: 40
Mar  7 16:44:32 cs219-laptop kernel: [  207.444336] rraac4: 06:20:a6:57:ff:32 : tx_count: 2184, tx_rate: 24M, loss ratio: 82, window size: 40
Mar  7 16:44:34 cs219-laptop kernel: [  209.239905] rraac4: 06:20:a6:57:ff:32 : tx_count: 2342, tx_rate: 18M, loss ratio: 55, window size: 20
Mar  7 16:44:34 cs219-laptop kernel: [  210.134298] rraac4: 06:20:a6:57:ff:32 : tx_count: 2418, tx_rate: 12M, loss ratio: 78, window size: 20
Mar  7 16:44:35 cs219-laptop kernel: [  210.358540] rraac4: 06:20:a6:57:ff:32 : tx_count: 2438, tx_rate: 11M, loss ratio: 54, window size: 15
