Mar  7 17:19:14 cs219-laptop kernel: [ 1295.516208] rraac4: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  7 17:19:14 cs219-laptop kernel: [ 1295.640465] rraac4: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  7 17:19:14 cs219-laptop kernel: [ 1295.775308] rraac4: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  7 17:19:14 cs219-laptop kernel: [ 1295.842220] rraac4: 06:20:a6:57:ff:32 : tx_count: 31, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  7 17:19:14 cs219-laptop kernel: [ 1295.954288] rraac4: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  7 17:19:15 cs219-laptop kernel: [ 1296.636613] rraac4: 06:20:a6:57:ff:32 : tx_count: 101, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  7 17:19:17 cs219-laptop kernel: [ 1298.868416] rraac4: 06:20:a6:57:ff:32 : tx_count: 301, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  7 17:19:17 cs219-laptop kernel: [ 1299.316748] rraac4: 06:20:a6:57:ff:32 : tx_count: 341, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  7 17:19:22 cs219-laptop kernel: [ 1304.248338] rraac4: 06:20:a6:57:ff:32 : tx_count: 778, tx_rate: 18M, loss ratio: 63, window size: 20
Mar  7 17:19:23 cs219-laptop kernel: [ 1304.696667] rraac4: 06:20:a6:57:ff:32 : tx_count: 818, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  7 17:19:24 cs219-laptop kernel: [ 1305.593321] rraac4: 06:20:a6:57:ff:32 : tx_count: 898, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:19:29 cs219-laptop kernel: [ 1310.973241] rraac4: 06:20:a6:57:ff:32 : tx_count: 1378, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:19:30 cs219-laptop kernel: [ 1311.424589] rraac4: 06:20:a6:57:ff:32 : tx_count: 1417, tx_rate: 36M, loss ratio: 70, window size: 40
Mar  7 17:19:32 cs219-laptop kernel: [ 1313.663205] rraac4: 06:20:a6:57:ff:32 : tx_count: 1617, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:19:32 cs219-laptop kernel: [ 1314.111532] rraac4: 06:20:a6:57:ff:32 : tx_count: 1651, tx_rate: 36M, loss ratio: 84, window size: 40
Mar  7 17:19:34 cs219-laptop kernel: [ 1315.458543] rraac4: 06:20:a6:57:ff:32 : tx_count: 1771, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:19:34 cs219-laptop kernel: [ 1315.904839] rraac4: 06:20:a6:57:ff:32 : tx_count: 1810, tx_rate: 36M, loss ratio: 76, window size: 40
Mar  7 17:19:38 cs219-laptop kernel: [ 1319.516937] rraac4: 06:20:a6:57:ff:32 : tx_count: 2130, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:19:38 cs219-laptop kernel: [ 1319.962201] rraac4: 06:20:a6:57:ff:32 : tx_count: 2157, tx_rate: 36M, loss ratio: 89, window size: 40
Mar  7 17:19:39 cs219-laptop kernel: [ 1320.474461] rraac4: 06:20:a6:57:ff:32 : tx_count: 2191, tx_rate: 24M, loss ratio: 66, window size: 40
Mar  7 17:19:39 cs219-laptop kernel: [ 1320.869561] rraac4: 06:20:a6:57:ff:32 : tx_count: 2191, tx_rate: 18M, loss ratio: 100, window size: 20
Mar  7 17:19:40 cs219-laptop kernel: [ 1321.401262] rraac4: 06:20:a6:57:ff:32 : tx_count: 3, tx_rate: 48M, loss ratio: 99, window size: 40
Mar  7 17:19:40 cs219-laptop kernel: [ 1321.845171] rraac4: 06:20:a6:57:ff:32 : tx_count: 3, tx_rate: 36M, loss ratio: 100, window size: 40
