Mar  1 20:19:19 cs219-laptop kernel: [  238.108716] rraac4: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 20:19:34 cs219-laptop kernel: [  239.522489] rraac4: 06:20:a6:57:ff:32 : tx_count: 13, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 20:19:35 cs219-laptop kernel: [  239.527356] rraac4: 06:20:a6:57:ff:32 : tx_count: 19, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 20:19:35 cs219-laptop kernel: [  239.533183] rraac4: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 20:19:35 cs219-laptop kernel: [  239.536563] rraac4: 06:20:a6:57:ff:32 : tx_count: 31, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 20:19:35 cs219-laptop kernel: [  239.538194] rraac4: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 20:19:35 cs219-laptop kernel: [  239.545651] rraac4: 06:20:a6:57:ff:32 : tx_count: 71, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 20:19:35 cs219-laptop kernel: [  239.550239] rraac4: 06:20:a6:57:ff:32 : tx_count: 91, tx_rate: 18M, loss ratio: 9, window size: 20
Mar  1 20:19:35 cs219-laptop kernel: [  239.554834] rraac4: 06:20:a6:57:ff:32 : tx_count: 111, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 20:19:35 cs219-laptop kernel: [  239.575920] rraac4: 06:20:a6:57:ff:32 : tx_count: 191, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 20:19:35 cs219-laptop kernel: [  239.590378] rraac4: 06:20:a6:57:ff:32 : tx_count: 271, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 20:19:35 cs219-laptop kernel: [  239.605580] rraac4: 06:20:a6:57:ff:32 : tx_count: 391, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:19:35 cs219-laptop kernel: [  239.611721] rraac4: 06:20:a6:57:ff:32 : tx_count: 431, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:19:35 cs219-laptop kernel: [  239.631405] rraac4: 06:20:a6:57:ff:32 : tx_count: 591, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:19:35 cs219-laptop kernel: [  239.636369] rraac4: 06:20:a6:57:ff:32 : tx_count: 631, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:19:35 cs219-laptop kernel: [  239.640278] rraac4: 06:20:a6:57:ff:32 : tx_count: 671, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:19:36 cs219-laptop kernel: [  239.650355] rraac4: 06:20:a6:57:ff:32 : tx_count: 751, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:19:36 cs219-laptop kernel: [  239.696194] rraac4: 06:20:a6:57:ff:32 : tx_count: 1031, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:19:36 cs219-laptop kernel: [  239.841774] rraac4: 06:20:a6:57:ff:32 : tx_count: 2071, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:19:37 cs219-laptop kernel: [  239.866761] rraac4: 06:20:a6:57:ff:32 : tx_count: 2111, tx_rate: 36M, loss ratio: 40, window size: 40
Mar  1 20:19:37 cs219-laptop kernel: [  239.885054] rraac4: 06:20:a6:57:ff:32 : tx_count: 2231, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:19:37 cs219-laptop kernel: [  239.899535] rraac4: 06:20:a6:57:ff:32 : tx_count: 2351, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:19:37 cs219-laptop kernel: [  239.994626] rraac4: 06:20:a6:57:ff:32 : tx_count: 3271, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:19:38 cs219-laptop kernel: [  240.017672] rraac4: 06:20:a6:57:ff:32 : tx_count: 3391, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:19:38 cs219-laptop kernel: [  240.068878] rraac4: 06:20:a6:57:ff:32 : tx_count: 3871, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:19:38 cs219-laptop kernel: [  240.072488] rraac4: 06:20:a6:57:ff:32 : tx_count: 3911, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:19:38 cs219-laptop kernel: [  240.085592] rraac4: 06:20:a6:57:ff:32 : tx_count: 3991, tx_rate: 48M, loss ratio: 25, window size: 40
Mar  1 20:19:38 cs219-laptop kernel: [  240.130393] rraac4: 06:20:a6:57:ff:32 : tx_count: 4391, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:19:39 cs219-laptop kernel: [  240.200033] rraac4: 06:20:a6:57:ff:32 : tx_count: 5071, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:19:39 cs219-laptop kernel: [  240.262446] rraac4: 06:20:a6:57:ff:32 : tx_count: 5551, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:19:39 cs219-laptop kernel: [  240.288059] rraac4: 06:20:a6:57:ff:32 : tx_count: 5751, tx_rate: 48M, loss ratio: 14, window size: 40
