Mar  1 15:41:13 cs219-laptop kernel: [  778.798816] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar  1 15:41:13 cs219-laptop kernel: [  778.818943] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 15:41:13 cs219-laptop kernel: [  778.836627] rraac4: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 15:41:13 cs219-laptop kernel: [  778.840729] rraac4: 06:20:a6:57:ff:32 : tx_count: 25, tx_rate: 18M, loss ratio: 87, window size: 20
Mar  1 15:41:13 cs219-laptop kernel: [  778.841885] rraac4: 06:20:a6:57:ff:32 : tx_count: 45, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 15:41:13 cs219-laptop kernel: [  778.843971] rraac4: 06:20:a6:57:ff:32 : tx_count: 85, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 15:41:13 cs219-laptop kernel: [  778.849822] rraac4: 06:20:a6:57:ff:32 : tx_count: 125, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 15:41:14 cs219-laptop kernel: [  778.853317] rraac4: 06:20:a6:57:ff:32 : tx_count: 162, tx_rate: 36M, loss ratio: 69, window size: 40
Mar  1 15:41:14 cs219-laptop kernel: [  778.859284] rraac4: 06:20:a6:57:ff:32 : tx_count: 169, tx_rate: 24M, loss ratio: 98, window size: 40
Mar  1 15:41:14 cs219-laptop kernel: [  778.861396] rraac4: 06:20:a6:57:ff:32 : tx_count: 209, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 15:41:14 cs219-laptop kernel: [  778.863713] rraac4: 06:20:a6:57:ff:32 : tx_count: 249, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 15:41:14 cs219-laptop kernel: [  778.872639] rraac4: 06:20:a6:57:ff:32 : tx_count: 303, tx_rate: 36M, loss ratio: 95, window size: 40
Mar  1 15:41:14 cs219-laptop kernel: [  778.881906] rraac4: 06:20:a6:57:ff:32 : tx_count: 463, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 15:41:14 cs219-laptop kernel: [  778.884151] rraac4: 06:20:a6:57:ff:32 : tx_count: 503, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:41:15 cs219-laptop kernel: [  778.931727] rraac4: 06:20:a6:57:ff:32 : tx_count: 1063, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 15:41:15 cs219-laptop kernel: [  778.935701] rraac4: 06:20:a6:57:ff:32 : tx_count: 1103, tx_rate: 36M, loss ratio: 39, window size: 40
Mar  1 15:41:15 cs219-laptop kernel: [  778.939456] rraac4: 06:20:a6:57:ff:32 : tx_count: 1183, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 15:41:15 cs219-laptop kernel: [  778.942148] rraac4: 06:20:a6:57:ff:32 : tx_count: 1223, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 15:41:16 cs219-laptop kernel: [  779.040305] rraac4: 06:20:a6:57:ff:32 : tx_count: 2463, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 15:41:16 cs219-laptop kernel: [  779.042762] rraac4: 06:20:a6:57:ff:32 : tx_count: 2503, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 15:41:16 cs219-laptop kernel: [  779.105428] rraac4: 06:20:a6:57:ff:32 : tx_count: 3263, tx_rate: 48M, loss ratio: 31, window size: 40
