Mar 10 19:02:01 cs219-laptop kernel: [  268.973191] 00:00:00:00:00:00 minstrel_init : <6>ath_pci: wifi0: Atheros 5212: mem=0x34000000, irq=17
Mar 10 19:02:15 cs219-laptop kernel: [  270.798838] 00:12:f0:98:26:43 minstrel: tx_rate 1, packet_count 0
Mar 10 19:02:16 cs219-laptop kernel: [  270.840181] 00:1c:b3:c0:2f:8a minstrel: tx_rate 1, packet_count 0
Mar 10 19:02:16 cs219-laptop kernel: [  270.869972] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 61
Mar 10 19:02:16 cs219-laptop kernel: [  270.889457] ath_rate_minstrel: no rates for 06:20:a6:57:fd:fe?
Mar 10 19:02:16 cs219-laptop kernel: [  270.890285] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 61
Mar 10 19:02:16 cs219-laptop kernel: [  270.890294] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 61
Mar 10 19:02:17 cs219-laptop kernel: [  270.910738] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 96
Mar 10 19:02:17 cs219-laptop kernel: [  270.910746] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 96
Mar 10 19:02:17 cs219-laptop kernel: [  270.985543] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 157
Mar 10 19:02:17 cs219-laptop kernel: [  270.986372] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 157
Mar 10 19:02:17 cs219-laptop kernel: [  270.986379] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 157
Mar 10 19:02:17 cs219-laptop kernel: [  270.986911] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 157
Mar 10 19:02:17 cs219-laptop kernel: [  270.989294] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 157
Mar 10 19:02:17 cs219-laptop kernel: [  270.989302] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 157
Mar 10 19:02:17 cs219-laptop kernel: [  270.991691] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 188
Mar 10 19:02:17 cs219-laptop kernel: [  270.991704] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 188
Mar 10 19:02:17 cs219-laptop kernel: [  270.993914] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 188
Mar 10 19:02:17 cs219-laptop kernel: [  270.993922] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 188
Mar 10 19:02:17 cs219-laptop kernel: [  270.993932] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 188
Mar 10 19:02:18 cs219-laptop kernel: [  270.994829] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 188
Mar 10 19:02:18 cs219-laptop kernel: [  270.994836] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 188
Mar 10 19:02:18 cs219-laptop kernel: [  270.996657] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 188
Mar 10 19:02:18 cs219-laptop kernel: [  270.996665] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 188
Mar 10 19:02:18 cs219-laptop kernel: [  270.997275] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 223
Mar 10 19:02:18 cs219-laptop kernel: [  270.997282] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 223
Mar 10 19:02:18 cs219-laptop kernel: [  270.998184] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 223
Mar 10 19:02:18 cs219-laptop kernel: [  270.998191] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 223
Mar 10 19:02:18 cs219-laptop kernel: [  271.000382] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 223
Mar 10 19:02:18 cs219-laptop kernel: [  271.000391] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 223
Mar 10 19:02:18 cs219-laptop kernel: [  271.000401] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 223
Mar 10 19:02:18 cs219-laptop kernel: [  271.003877] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 254
Mar 10 19:02:18 cs219-laptop kernel: [  271.003884] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 254
Mar 10 19:02:18 cs219-laptop kernel: [  271.003890] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 254
Mar 10 19:02:18 cs219-laptop kernel: [  271.033209] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 254
Mar 10 19:02:18 cs219-laptop kernel: [  271.033219] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 254
Mar 10 19:02:18 cs219-laptop kernel: [  271.036895] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 254
