Mar 13 22:49:59 cs219-laptop kernel: [  360.992918] 00:1f:3c:6b:b1:dc minstrel: tx_rate 1, packet_count 0
Mar 13 22:50:08 cs219-laptop kernel: [  369.999426] 00:1a:73:df:3f:86 minstrel: tx_rate 1, packet_count 0
Mar 13 22:50:24 cs219-laptop kernel: [  380.537515] 00:18:de:38:51:a5 minstrel: tx_rate 1, packet_count 0
Mar 13 22:50:24 cs219-laptop kernel: [  380.537526] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 4
Mar 13 22:50:24 cs219-laptop kernel: [  380.562532] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 6
Mar 13 22:50:25 cs219-laptop kernel: [  380.583814] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7
Mar 13 22:50:26 cs219-laptop kernel: [  380.639411] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 7
Mar 13 22:50:37 cs219-laptop kernel: [  381.271851] 00:1f:3b:5e:7e:2d minstrel: tx_rate 1, packet_count 0
Mar 13 22:50:37 cs219-laptop kernel: [  381.278654] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 53
Mar 13 22:50:37 cs219-laptop kernel: [  381.278663] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 53
Mar 13 22:50:37 cs219-laptop kernel: [  381.290330] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 78
Mar 13 22:50:37 cs219-laptop kernel: [  381.290340] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 78
Mar 13 22:50:38 cs219-laptop kernel: [  381.319622] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 113
Mar 13 22:50:38 cs219-laptop kernel: [  381.319631] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 113
Mar 13 22:50:38 cs219-laptop kernel: [  381.321992] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 144
Mar 13 22:50:38 cs219-laptop kernel: [  381.321999] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 144
Mar 13 22:50:38 cs219-laptop kernel: [  381.323939] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 144
Mar 13 22:50:38 cs219-laptop kernel: [  381.323947] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 144
Mar 13 22:50:38 cs219-laptop kernel: [  381.340123] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 179
Mar 13 22:50:38 cs219-laptop kernel: [  381.340699] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 179
Mar 13 22:50:38 cs219-laptop kernel: [  381.384293] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 210
Mar 13 22:50:38 cs219-laptop kernel: [  381.384303] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 210
Mar 13 22:50:38 cs219-laptop kernel: [  381.385980] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 210
Mar 13 22:50:38 cs219-laptop kernel: [  381.385988] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 210
Mar 13 22:50:38 cs219-laptop kernel: [  381.389532] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 245
Mar 13 22:50:38 cs219-laptop kernel: [  381.389540] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 245
Mar 13 22:50:38 cs219-laptop kernel: [  381.393758] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 245
Mar 13 22:50:38 cs219-laptop kernel: [  381.393766] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 245
Mar 13 22:50:38 cs219-laptop kernel: [  381.410463] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 276
Mar 13 22:50:38 cs219-laptop kernel: [  381.410473] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 276
