Mar 10 20:07:53 cs219-laptop kernel: [  798.771867] 00:00:00:00:00:00 minstrel_init : <6>ath_pci: wifi0: Atheros 5212: mem=0x34000000, irq=17
Mar 10 20:08:07 cs219-laptop kernel: [  800.425106] 00:12:f0:98:26:43 minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:07 cs219-laptop kernel: [  800.499635] 00:17:c4:04:53:ee minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:08 cs219-laptop kernel: [  800.513819] ath_rate_minstrel: no rates for 06:20:a6:57:fd:fe?
Mar 10 20:08:08 cs219-laptop kernel: [  800.547573] 06:20:a6:57:fd:fe minstrel: tx_rate 36, packet_count 0
Mar 10 20:08:09 cs219-laptop kernel: [  800.587813] 00:16:ce:47:2a:2a minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:11 cs219-laptop kernel: [  800.636018] 00:15:af:bc:ee:69 minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:17 cs219-laptop kernel: [  800.860201] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:19 cs219-laptop kernel: [  801.023181] 00:1b:77:55:51:26 minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:26 cs219-laptop kernel: [  801.402551] 00:18:de:6a:28:f9 minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:29 cs219-laptop kernel: [  801.534884] 00:18:41:c7:c4:db minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:30 cs219-laptop kernel: [  801.565476] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 2
Mar 10 20:08:34 cs219-laptop kernel: [  801.741559] 00:14:a5:b7:a7:f0 minstrel: tx_rate 6, packet_count 0
Mar 10 20:08:36 cs219-laptop kernel: [  801.869857] 00:13:e8:1d:6a:29 minstrel: tx_rate 5, packet_count 6
Mar 10 20:08:36 cs219-laptop kernel: [  801.871818] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 6
Mar 10 20:08:38 cs219-laptop kernel: [  801.937753] 00:11:50:13:9b:e2 minstrel: tx_rate 1, packet_count 0
Mar 10 20:08:50 cs219-laptop kernel: [  802.280157] 00:13:e8:1d:6a:29 minstrel: tx_rate 24, packet_count 16
Mar 10 20:08:52 cs219-laptop kernel: [  802.324844] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 17
Mar 10 20:08:58 cs219-laptop kernel: [  802.495015] 00:13:e8:1d:6a:29 minstrel: tx_rate 9, packet_count 21
Mar 10 20:08:59 cs219-laptop kernel: [  802.518458] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 22
Mar 10 20:09:05 cs219-laptop kernel: [  802.730576] 00:15:af:bc:ee:69 minstrel: tx_rate 1, packet_count 0
Mar 10 20:09:07 cs219-laptop kernel: [  802.779206] 00:13:e8:1d:6a:29 minstrel: tx_rate 36, packet_count 32
Mar 10 20:09:08 cs219-laptop kernel: [  802.810803] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 33
Mar 10 20:09:12 cs219-laptop kernel: [  802.951498] 00:12:f0:98:10:f5 minstrel: tx_rate 1, packet_count 0
Mar 10 20:09:13 cs219-laptop kernel: [  802.964349] 00:23:4d:61:90:e3 minstrel: tx_rate 1, packet_count 0
Mar 10 20:09:23 cs219-laptop kernel: [  803.258967] 00:13:e8:1d:6a:29 minstrel: tx_rate 11, packet_count 48
Mar 10 20:09:24 cs219-laptop kernel: [  803.279191] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 49
Mar 10 20:09:27 cs219-laptop kernel: [  803.372244] 00:13:e8:1d:6a:29 minstrel: tx_rate 48, packet_count 53
Mar 10 20:09:28 cs219-laptop kernel: [  803.383400] 00:13:e8:1d:6a:29 minstrel: tx_rate 1, packet_count 54
Mar 10 20:09:33 cs219-laptop kernel: [  803.574749] 00:21:00:5e:ef:83 minstrel: tx_rate 1, packet_count 0
