Mar 13 23:03:56 cs219-laptop kernel: [  433.030000] rraa: this is the new rraa module!
Mar 13 23:04:11 cs219-laptop kernel: [  433.948914] rraa: 00:0e:10:03:d6:f0 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:16 cs219-laptop kernel: [  434.080706] rraa: 00:1f:e1:3d:2f:c4 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:16 cs219-laptop kernel: [  434.082396] rraa: 00:12:f0:98:26:43 : tx_count: 1, tx_rate: 48M, loss ratio: 50, window size: 40
Mar 13 23:04:18 cs219-laptop kernel: [  434.125917] rraa: 00:90:96:c5:fa:bc : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:28 cs219-laptop kernel: [  434.358163] rraa: 00:1a:73:4a:5b:de : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:36 cs219-laptop kernel: [  434.538824] rraa: 00:12:f0:98:10:f5 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.250839] rraa: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 48M, loss ratio: 33, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.280781] rraa: 06:20:a6:57:ff:32 : tx_count: 81, tx_rate: 36M, loss ratio: 25, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.284875] rraa: 06:20:a6:57:ff:32 : tx_count: 119, tx_rate: 24M, loss ratio: 54, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.288076] rraa: 06:20:a6:57:ff:32 : tx_count: 156, tx_rate: 18M, loss ratio: 53, window size: 20
Mar 13 23:04:48 cs219-laptop kernel: [  435.291614] rraa: 06:20:a6:57:ff:32 : tx_count: 196, tx_rate: 24M, loss ratio: 0, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.311536] rraa: 06:20:a6:57:ff:32 : tx_count: 236, tx_rate: 36M, loss ratio: 11, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.314980] rraa: 06:20:a6:57:ff:32 : tx_count: 276, tx_rate: 48M, loss ratio: 11, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.317628] rraa: 06:20:a6:57:ff:32 : tx_count: 316, tx_rate: 36M, loss ratio: 24, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.328675] rraa: 06:20:a6:57:ff:32 : tx_count: 436, tx_rate: 48M, loss ratio: 9, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.337314] rraa: 06:20:a6:57:ff:32 : tx_count: 516, tx_rate: 36M, loss ratio: 25, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.343590] rraa: 06:20:a6:57:ff:32 : tx_count: 550, tx_rate: 24M, loss ratio: 70, window size: 40
Mar 13 23:04:48 cs219-laptop kernel: [  435.347752] rraa: 06:20:a6:57:ff:32 : tx_count: 630, tx_rate: 36M, loss ratio: 13, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.360209] rraa: 06:20:a6:57:ff:32 : tx_count: 709, tx_rate: 24M, loss ratio: 40, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.363568] rraa: 06:20:a6:57:ff:32 : tx_count: 748, tx_rate: 18M, loss ratio: 44, window size: 20
Mar 13 23:04:49 cs219-laptop kernel: [  435.364540] rraa: 06:20:a6:57:ff:32 : tx_count: 768, tx_rate: 24M, loss ratio: 9, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.370737] rraa: 06:20:a6:57:ff:32 : tx_count: 805, tx_rate: 18M, loss ratio: 53, window size: 20
Mar 13 23:04:49 cs219-laptop kernel: [  435.371945] rraa: 06:20:a6:57:ff:32 : tx_count: 825, tx_rate: 24M, loss ratio: 4, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.374055] rraa: 06:20:a6:57:ff:32 : tx_count: 865, tx_rate: 36M, loss ratio: 13, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.377238] rraa: 06:20:a6:57:ff:32 : tx_count: 904, tx_rate: 24M, loss ratio: 35, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.379280] rraa: 06:20:a6:57:ff:32 : tx_count: 944, tx_rate: 36M, loss ratio: 4, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.382207] rraa: 06:20:a6:57:ff:32 : tx_count: 983, tx_rate: 24M, loss ratio: 38, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.384199] rraa: 06:20:a6:57:ff:32 : tx_count: 1023, tx_rate: 36M, loss ratio: 13, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.387514] rraa: 06:20:a6:57:ff:32 : tx_count: 1062, tx_rate: 24M, loss ratio: 36, window size: 40
Mar 13 23:04:49 cs219-laptop kernel: [  435.398727] rraa: 06:20:a6:57:ff:32 : tx_count: 1093, tx_rate: 18M, loss ratio: 81, window size: 20
Mar 13 23:04:49 cs219-laptop kernel: [  435.455229] rraa: 06:20:a6:57:ff:32 : tx_count: 1132, tx_rate: 12M, loss ratio: 58, window size: 20
Mar 13 23:04:49 cs219-laptop kernel: [  435.457931] rraa: 06:20:a6:57:ff:32 : tx_count: 1172, tx_rate: 18M, loss ratio: 0, window size: 20
Mar 13 23:04:50 cs219-laptop kernel: [  435.460841] rraa: 06:20:a6:57:ff:32 : tx_count: 1212, tx_rate: 24M, loss ratio: 9, window size: 40
Mar 13 23:04:50 cs219-laptop kernel: [  435.487630] rraa: 06:20:a6:57:ff:32 : tx_count: 1252, tx_rate: 36M, loss ratio: 4, window size: 40
Mar 13 23:04:50 cs219-laptop kernel: [  435.504027] rraa: 06:20:a6:57:ff:32 : tx_count: 1292, tx_rate: 48M, loss ratio: 2, window size: 40
Mar 13 23:04:50 cs219-laptop kernel: [  435.506398] rraa: 06:20:a6:57:ff:32 : tx_count: 1332, tx_rate: 54M, loss ratio: 4, window size: 40
Mar 13 23:04:50 cs219-laptop kernel: [  435.508453] rraa: 06:20:a6:57:ff:32 : tx_count: 1372, tx_rate: 48M, loss ratio: 24, window size: 40
Mar 13 23:04:50 cs219-laptop kernel: [  435.517553] rraa: 06:20:a6:57:ff:32 : tx_count: 1446, tx_rate: 36M, loss ratio: 72, window size: 40
