Mar 10 19:06:18 cs219-laptop kernel: [  290.280138] rraa: this is the new rraa module!
Mar 10 19:06:33 cs219-laptop kernel: [  292.748495] rraa: 00:21:00:5e:ef:83 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:06:35 cs219-laptop kernel: [  294.055681] rraa: 06:20:a6:57:ff:32 : tx_count: 38, tx_rate: 48M, loss ratio: 70, window size: 40
Mar 10 19:06:35 cs219-laptop kernel: [  294.062738] rraa: 06:20:a6:57:ff:32 : tx_count: 78, tx_rate: 36M, loss ratio: 37, window size: 40
Mar 10 19:06:35 cs219-laptop kernel: [  294.100731] rraa: 06:20:a6:57:ff:32 : tx_count: 117, tx_rate: 24M, loss ratio: 59, window size: 40
Mar 10 19:06:35 cs219-laptop kernel: [  294.126221] rraa: 06:20:a6:57:ff:32 : tx_count: 157, tx_rate: 18M, loss ratio: 40, window size: 20
Mar 10 19:06:36 cs219-laptop kernel: [  294.128706] rraa: 06:20:a6:57:ff:32 : tx_count: 176, tx_rate: 12M, loss ratio: 51, window size: 20
Mar 10 19:06:36 cs219-laptop kernel: [  294.138589] rraa: 06:20:a6:57:ff:32 : tx_count: 196, tx_rate: 11M, loss ratio: 41, window size: 15
Mar 10 19:06:36 cs219-laptop kernel: [  294.161340] rraa: 06:20:a6:57:ff:32 : tx_count: 256, tx_rate: 9M, loss ratio: 50, window size: 10
Mar 10 19:06:36 cs219-laptop kernel: [  294.182253] rraa: 06:20:a6:57:ff:32 : tx_count: 276, tx_rate: 6M, loss ratio: 54, window size: 6
Mar 10 19:06:36 cs219-laptop kernel: [  294.186181] rraa: 06:20:a6:57:ff:32 : tx_count: 282, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 19:06:37 cs219-laptop kernel: [  294.197177] rraa: 06:20:a6:57:ff:32 : tx_count: 291, tx_rate: 6M, loss ratio: 73, window size: 6
Mar 10 19:06:37 cs219-laptop kernel: [  294.199929] rraa: 06:20:a6:57:ff:32 : tx_count: 297, tx_rate: 5M, loss ratio: 50, window size: 6
Mar 10 19:06:37 cs219-laptop kernel: [  294.203393] rraa: 06:20:a6:57:ff:32 : tx_count: 303, tx_rate: 2M, loss ratio: 40, window size: 6
Mar 10 19:06:37 cs219-laptop kernel: [  294.205189] rraa: 06:20:a6:57:ff:32 : tx_count: 309, tx_rate: 1M, loss ratio: 57, window size: 6
Mar 10 19:06:37 cs219-laptop kernel: [  294.206441] rraa: 06:20:a6:57:ff:32 : tx_count: 315, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 19:06:37 cs219-laptop kernel: [  294.210076] rraa: 06:20:a6:57:ff:32 : tx_count: 320, tx_rate: 1M, loss ratio: 75, window size: 6
Mar 10 19:06:37 cs219-laptop kernel: [  294.221701] rraa: 06:20:a6:57:ff:32 : tx_count: 338, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 19:06:38 cs219-laptop kernel: [  294.224763] rraa: 06:20:a6:57:ff:32 : tx_count: 344, tx_rate: 5M, loss ratio: 14, window size: 6
Mar 10 19:06:38 cs219-laptop kernel: [  294.240008] rraa: 06:20:a6:57:ff:32 : tx_count: 350, tx_rate: 2M, loss ratio: 62, window size: 6
Mar 10 19:06:38 cs219-laptop kernel: [  294.240043] rraa: 06:20:a6:57:ff:32 : tx_count: 356, tx_rate: 1M, loss ratio: 40, window size: 6
Mar 10 19:06:38 cs219-laptop kernel: [  294.243101] rraa: 06:20:a6:57:ff:32 : tx_count: 362, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 19:06:38 cs219-laptop kernel: [  294.247414] rraa: 06:20:a6:57:ff:32 : tx_count: 368, tx_rate: 5M, loss ratio: 25, window size: 6
Mar 10 19:06:38 cs219-laptop kernel: [  294.249436] rraa: 06:20:a6:57:ff:32 : tx_count: 374, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 19:06:38 cs219-laptop kernel: [  294.252150] rraa: 06:20:a6:57:ff:32 : tx_count: 380, tx_rate: 9M, loss ratio: 33, window size: 10
Mar 10 19:06:39 cs219-laptop kernel: [  294.283575] rraa: 06:20:a6:57:ff:32 : tx_count: 410, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 19:06:39 cs219-laptop kernel: [  294.294995] rraa: 06:20:a6:57:ff:32 : tx_count: 424, tx_rate: 9M, loss ratio: 58, window size: 10
Mar 10 19:06:40 cs219-laptop kernel: [  294.301857] rraa: 06:20:a6:57:ff:32 : tx_count: 442, tx_rate: 6M, loss ratio: 81, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.304038] rraa: 00:12:f0:12:69:85 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:06:40 cs219-laptop kernel: [  294.304057] rraa: 06:20:a6:57:ff:32 : tx_count: 448, tx_rate: 5M, loss ratio: 45, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.305325] rraa: 06:20:a6:57:ff:32 : tx_count: 454, tx_rate: 6M, loss ratio: 33, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.306336] rraa: 06:20:a6:57:ff:32 : tx_count: 460, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.307114] rraa: 06:20:a6:57:ff:32 : tx_count: 466, tx_rate: 2M, loss ratio: 40, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.307754] rraa: 06:20:a6:57:ff:32 : tx_count: 472, tx_rate: 5M, loss ratio: 14, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.312671] rraa: 06:20:a6:57:ff:32 : tx_count: 478, tx_rate: 2M, loss ratio: 40, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.312707] rraa: 06:20:a6:57:ff:32 : tx_count: 484, tx_rate: 5M, loss ratio: 14, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.314590] rraa: 06:20:a6:57:ff:32 : tx_count: 490, tx_rate: 2M, loss ratio: 57, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.315801] rraa: 06:20:a6:57:ff:32 : tx_count: 496, tx_rate: 1M, loss ratio: 53, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.317283] rraa: 06:20:a6:57:ff:32 : tx_count: 502, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.319036] rraa: 06:20:a6:57:ff:32 : tx_count: 508, tx_rate: 1M, loss ratio: 50, window size: 6
Mar 10 19:06:40 cs219-laptop kernel: [  294.324715] rraa: 06:20:a6:57:ff:32 : tx_count: 526, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.326479] rraa: 06:20:a6:57:ff:32 : tx_count: 532, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.327723] rraa: 06:20:a6:57:ff:32 : tx_count: 538, tx_rate: 2M, loss ratio: 57, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.389047] rraa: 06:20:a6:57:ff:32 : tx_count: 544, tx_rate: 1M, loss ratio: 40, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.389083] rraa: 06:20:a6:57:ff:32 : tx_count: 550, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.394686] rraa: 06:20:a6:57:ff:32 : tx_count: 556, tx_rate: 5M, loss ratio: 25, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.397570] rraa: 06:20:a6:57:ff:32 : tx_count: 562, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 19:06:41 cs219-laptop kernel: [  294.403747] rraa: 06:20:a6:57:ff:32 : tx_count: 568, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 19:06:41 cs219-laptop kernel: [  294.422546] rraa: 06:20:a6:57:ff:32 : tx_count: 578, tx_rate: 6M, loss ratio: 41, window size: 6
