Mar 10 20:43:37 cs219-laptop kernel: [ 1053.038830] rraa: this is the new rraa module!
Mar 10 20:43:51 cs219-laptop kernel: [ 1055.240052] rraa: 00:12:f0:98:26:43 : tx_count: 1, tx_rate: 48M, loss ratio: 66, window size: 40
Mar 10 20:43:53 cs219-laptop kernel: [ 1055.552397] rraa: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 20:43:53 cs219-laptop kernel: [ 1055.565333] rraa: 00:23:4d:61:90:e3 : tx_count: 1, tx_rate: 48M, loss ratio: 66, window size: 40
Mar 10 20:43:56 cs219-laptop kernel: [ 1055.868891] rraa: 00:15:af:bc:ee:69 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 20:43:58 cs219-laptop kernel: [ 1057.671959] rraa: 00:1c:b3:c0:2f:8a : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 20:43:58 cs219-laptop kernel: [ 1058.182894] rraa: 00:12:f0:98:26:43 : tx_count: 31, tx_rate: 36M, loss ratio: 85, window size: 40
Mar 10 20:43:59 cs219-laptop kernel: [ 1058.907109] rraa: 00:14:a5:8c:93:6c : tx_count: 1, tx_rate: 48M, loss ratio: 83, window size: 40
Mar 10 20:44:01 cs219-laptop kernel: [ 1060.930561] rraa: 06:20:a6:57:ff:32 : tx_count: 39, tx_rate: 36M, loss ratio: 55, window size: 40
Mar 10 20:44:01 cs219-laptop kernel: [ 1060.941213] rraa: 06:20:a6:57:ff:32 : tx_count: 159, tx_rate: 24M, loss ratio: 37, window size: 40
Mar 10 20:44:01 cs219-laptop kernel: [ 1060.958166] rraa: 06:20:a6:57:ff:32 : tx_count: 199, tx_rate: 18M, loss ratio: 36, window size: 20
Mar 10 20:44:01 cs219-laptop kernel: [ 1060.974342] rraa: 06:20:a6:57:ff:32 : tx_count: 218, tx_rate: 12M, loss ratio: 52, window size: 20
Mar 10 20:44:01 cs219-laptop kernel: [ 1060.991316] rraa: 06:20:a6:57:ff:32 : tx_count: 238, tx_rate: 11M, loss ratio: 37, window size: 15
Mar 10 20:44:02 cs219-laptop kernel: [ 1060.995716] rraa: 06:20:a6:57:ff:32 : tx_count: 253, tx_rate: 9M, loss ratio: 46, window size: 10
Mar 10 20:44:02 cs219-laptop kernel: [ 1060.997089] rraa: 06:20:a6:57:ff:32 : tx_count: 263, tx_rate: 6M, loss ratio: 52, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1060.997819] rraa: 06:20:a6:57:ff:32 : tx_count: 269, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 10 20:44:02 cs219-laptop kernel: [ 1060.999221] rraa: 06:20:a6:57:ff:32 : tx_count: 279, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.006996] rraa: 06:20:a6:57:ff:32 : tx_count: 324, tx_rate: 9M, loss ratio: 42, window size: 10
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.008881] rraa: 06:20:a6:57:ff:32 : tx_count: 334, tx_rate: 6M, loss ratio: 44, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.010071] rraa: 06:20:a6:57:ff:32 : tx_count: 340, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.013488] rraa: 06:20:a6:57:ff:32 : tx_count: 346, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.025184] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 5M, loss ratio: 45, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.042710] rraa: 06:20:a6:57:ff:32 : tx_count: 358, tx_rate: 6M, loss ratio: 14, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.048183] rraa: 06:20:a6:57:ff:32 : tx_count: 364, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.051780] rraa: 06:20:a6:57:ff:32 : tx_count: 374, tx_rate: 6M, loss ratio: 41, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.054287] rraa: 06:20:a6:57:ff:32 : tx_count: 380, tx_rate: 5M, loss ratio: 60, window size: 6
Mar 10 20:44:02 cs219-laptop kernel: [ 1061.055485] rraa: 06:20:a6:57:ff:32 : tx_count: 382, tx_rate: 2M, loss ratio: 95, window size: 6
