output format
<time> <packet count> <tx rate>

17:34:05 1, 24M
17:34:06 2, 24M
17:34:06 3, 24M
17:34:06 4, 24M
17:34:14 5, 24M
17:34:14 6, 24M
17:34:14 7, 24M
17:34:14 8, 24M
17:34:14 9, 24M
17:34:14 10, 24M
17:34:14 11, 24M
17:34:14 12, 24M
17:34:14 13, 24M
17:34:14 14, 24M
17:34:14 15, 24M
17:34:14 16, 24M
17:34:14 17, 24M
17:34:14 18, 24M
17:34:14 19, 24M
17:34:14 20, 24M
17:34:14 21, 24M
17:34:14 22, 24M
17:34:14 23, 24M
17:34:14 24, 24M
17:34:14 25, 24M
17:34:14 26, 24M
17:34:14 27, 24M
17:34:14 28, 24M
17:34:14 29, 24M
17:34:14 30, 24M
17:34:14 31, 24M
17:34:14 32, 24M
17:34:14 33, 24M
17:34:14 34, 24M
17:34:14 35, 24M
17:34:14 36, 24M
17:34:14 37, 24M
17:34:14 38, 24M
17:34:14 39, 24M
17:34:14 40, 24M
17:34:14 41, 24M
17:34:14 42, 24M
17:34:14 43, 24M
17:34:14 44, 24M
17:34:14 45, 24M
17:34:14 46, 24M
17:34:14 47, 24M
17:34:14 48, 24M
17:34:14 49, 24M
17:34:14 50, 24M
17:34:14 51, 24M
17:34:14 52, 24M
17:34:14 53, 24M
17:34:14 54, 24M
17:34:14 55, 24M
17:34:14 56, 24M
17:34:14 57, 24M
17:34:14 58, 24M
17:34:14 59, 24M
17:34:14 60, 24M
17:34:14 61, 24M
17:34:14 62, 24M
17:34:14 63, 24M
17:34:14 64, 24M
17:34:14 65, 24M
17:34:14 66, 24M
17:34:14 67, 24M
17:34:14 68, 24M
17:34:14 69, 24M
17:34:14 70, 24M
17:34:14 71, 24M
17:34:14 72, 24M
17:34:14 73, 24M
17:34:14 74, 24M
17:34:14 75, 24M
17:34:14 76, 24M
17:34:14 77, 24M
17:34:14 78, 24M
17:34:14 79, 24M
17:34:14 80, 24M
17:34:14 81, 24M
17:34:14 82, 24M
17:34:14 83, 24M
17:34:14 84, 24M
17:34:14 85, 24M
17:34:14 86, 24M
17:34:14 87, 24M
17:34:14 88, 24M
17:34:14 89, 24M
17:34:14 90, 24M
17:34:14 91, 24M
17:34:14 92, 24M
17:34:14 93, 24M
17:34:14 94, 24M
17:34:14 95, 24M
17:34:14 96, 24M
17:34:14 97, 24M
17:34:14 98, 24M
17:34:14 99, 24M
17:34:14 100, 24M
17:34:14 101, 24M
17:34:14 102, 24M
17:34:14 103, 24M
17:34:14 104, 24M
17:34:14 105, 24M
17:34:14 106, 24M
17:34:14 107, 24M
17:34:14 108, 24M
17:34:14 109, 24M
17:34:14 110, 24M
17:34:14 111, 24M
17:34:14 112, 24M
17:34:14 113, 24M
17:34:14 114, 24M
17:34:14 115, 24M
17:34:14 116, 24M
17:34:14 117, 24M
17:34:14 118, 24M
17:34:14 119, 24M
17:34:14 120, 24M
17:34:14 121, 24M
17:34:14 122, 24M
17:34:14 123, 24M
17:34:14 124, 24M
17:34:14 125, 24M
17:34:14 126, 24M
17:34:14 127, 24M
17:34:14 128, 24M
17:34:14 129, 24M
17:34:14 130, 24M
17:34:14 131, 24M
17:34:14 132, 24M
17:34:14 133, 24M
17:34:14 134, 24M
17:34:14 135, 24M
17:34:14 136, 24M
17:34:14 137, 24M
17:34:14 138, 24M
17:34:14 139, 24M
17:34:14 140, 24M
17:34:14 141, 24M
17:34:14 142, 24M
17:34:14 143, 24M
17:34:14 144, 24M
17:34:14 145, 24M
17:34:14 146, 24M
17:34:14 147, 24M
17:34:14 148, 24M
17:34:14 149, 24M
17:34:14 150, 24M
17:34:14 151, 24M
17:34:14 152, 24M
17:34:14 153, 24M
17:34:14 154, 24M
17:34:14 155, 24M
17:34:14 156, 24M
17:34:14 157, 24M
17:34:14 158, 24M
17:34:14 159, 24M
17:34:14 160, 24M
17:34:14 161, 24M
17:34:14 162, 24M
17:34:14 163, 24M
17:34:14 164, 24M
17:34:14 165, 24M
17:34:14 166, 24M
17:34:14 167, 24M
17:34:14 168, 24M
17:34:14 169, 24M
17:34:14 170, 24M
17:34:14 171, 24M
17:34:14 172, 24M
17:34:14 173, 24M
