Feb 26 17:46:21 cs219-laptop kernel: [ 1327.964528] rraa: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 48M, loss ratio: 50, window size: 40
Feb 26 17:46:21 cs219-laptop kernel: [ 1327.969998] rraa: 06:20:a6:57:ff:32 : tx_count: 41, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:21 cs219-laptop kernel: [ 1327.975103] rraa: 06:20:a6:57:ff:32 : tx_count: 81, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:21 cs219-laptop kernel: [ 1327.979545] rraa: 06:20:a6:57:ff:32 : tx_count: 121, tx_rate: 54M, loss ratio: 4, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1327.987281] rraa: 06:20:a6:57:ff:32 : tx_count: 161, tx_rate: 54M, loss ratio: 6, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1327.993485] rraa: 06:20:a6:57:ff:32 : tx_count: 201, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.004665] rraa: 06:20:a6:57:ff:32 : tx_count: 241, tx_rate: 48M, loss ratio: 20, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.016890] rraa: 06:20:a6:57:ff:32 : tx_count: 281, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.023673] rraa: 06:20:a6:57:ff:32 : tx_count: 321, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.029643] rraa: 06:20:a6:57:ff:32 : tx_count: 361, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.034753] rraa: 06:20:a6:57:ff:32 : tx_count: 401, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.059101] rraa: 06:20:a6:57:ff:32 : tx_count: 441, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.065502] rraa: 06:20:a6:57:ff:32 : tx_count: 481, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.084385] rraa: 06:20:a6:57:ff:32 : tx_count: 521, tx_rate: 48M, loss ratio: 21, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.092205] rraa: 06:20:a6:57:ff:32 : tx_count: 561, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:22 cs219-laptop kernel: [ 1328.099843] rraa: 06:20:a6:57:ff:32 : tx_count: 601, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:23 cs219-laptop kernel: [ 1328.106303] rraa: 06:20:a6:57:ff:32 : tx_count: 641, tx_rate: 54M, loss ratio: 4, window size: 40
