output format
<time> <tx rate>

17:46:21 1, 48M,
17:46:21 41, 48M,
17:46:21 81, 48M,
17:46:21 121, 54M,
17:46:22 161, 54M,
17:46:22 201, 48M,
17:46:22 241, 48M,
17:46:22 281, 48M,
17:46:22 321, 48M,
17:46:22 361, 48M,
17:46:22 401, 48M,
17:46:22 441, 48M,
17:46:22 481, 48M,
17:46:22 521, 48M,
17:46:22 561, 48M,
17:46:22 601, 48M,
17:46:23 641, 54M,
17:46:23 681, 48M,
17:46:23 721, 48M,
17:46:23 761, 48M,
17:46:23 801, 48M,
17:46:23 841, 48M,
17:46:23 881, 36M,
17:46:23 921, 36M,
17:46:23 961, 36M,
17:46:23 1001, 48M,
17:46:23 1041, 48M,
17:46:23 1081, 48M,
17:46:23 1121, 48M,
17:46:23 1161, 48M,
17:46:24 1201, 48M,
17:46:24 1241, 48M,
17:46:24 1281, 48M,
17:46:24 1321, 48M,
17:46:24 1361, 48M,
17:46:24 1401, 48M,
17:46:24 1441, 48M,
17:46:24 1481, 48M,
17:46:24 1521, 48M,
17:46:24 1561, 48M,
17:46:24 1601, 48M,
17:46:24 1641, 36M,
17:46:24 1681, 36M,
17:46:24 1721, 36M,
17:46:24 1761, 36M,
17:46:24 1801, 36M,
17:46:24 1841, 36M,
17:46:24 1881, 36M,
17:46:24 1921, 36M,
17:46:25 1961, 48M,
17:46:25 2001, 48M,
17:46:25 2041, 36M,
17:46:25 2081, 36M,
17:46:25 2121, 36M,
17:46:25 2161, 36M,
17:46:25 2201, 36M,
17:46:25 2241, 36M,
17:46:25 2281, 36M,
17:46:25 2321, 48M,
17:46:25 2361, 48M,
17:46:26 2401, 48M,
17:46:26 2441, 48M,
17:46:26 2481, 48M,
17:46:26 2521, 48M,
17:46:26 2561, 48M,
17:46:26 2601, 48M,
17:46:26 2641, 48M,
17:46:26 2681, 48M,
17:46:26 2721, 48M,
17:46:26 2761, 48M,
17:46:26 2801, 48M,
17:46:26 2841, 48M,
17:46:26 2881, 48M,
17:46:26 2921, 48M,
17:46:27 2961, 48M,
17:46:27 3001, 48M,
17:46:27 3041, 48M,
17:46:27 3081, 48M,
17:46:27 3121, 48M,
17:46:27 3161, 48M,
17:46:27 3201, 48M,
17:46:27 3241, 48M,
17:46:27 3281, 48M,
17:46:27 3321, 48M,
17:46:27 3361, 48M,
17:46:27 3401, 48M,
17:46:27 3441, 48M,
17:46:27 3481, 48M,
17:46:27 3521, 48M,
17:46:27 3561, 48M,
17:46:27 3601, 48M,
17:46:28 3641, 36M,
17:46:28 3681, 36M,
17:46:28 3721, 48M,
17:46:28 3761, 48M,
17:46:28 3801, 48M,
17:46:28 3841, 48M,
17:46:28 3881, 48M,
17:46:28 3921, 48M,
17:46:28 3961, 48M,
17:46:28 4001, 48M,
17:46:28 4041, 48M,
