Feb 26 18:13:46 cs219-laptop kernel: [ 1478.769628] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1, tx_rate: 54M, loss ratio: 0, window size: 80
Feb 26 18:13:46 cs219-laptop kernel: [ 1478.799353] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 81, tx_rate: 48M, loss ratio: 17, window size: 80
Feb 26 18:13:46 cs219-laptop kernel: [ 1478.822673] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 161, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:13:47 cs219-laptop kernel: [ 1478.842936] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 241, tx_rate: 48M, loss ratio: 18, window size: 80
Feb 26 18:13:47 cs219-laptop kernel: [ 1478.856271] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 321, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:47 cs219-laptop kernel: [ 1478.872574] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 401, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:13:47 cs219-laptop kernel: [ 1478.884948] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 481, tx_rate: 48M, loss ratio: 16, window size: 80
Feb 26 18:13:47 cs219-laptop kernel: [ 1478.896025] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 561, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:47 cs219-laptop kernel: [ 1478.913981] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 641, tx_rate: 48M, loss ratio: 18, window size: 80
Feb 26 18:13:48 cs219-laptop kernel: [ 1478.937588] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 721, tx_rate: 48M, loss ratio: 19, window size: 80
Feb 26 18:13:48 cs219-laptop kernel: [ 1478.952599] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 801, tx_rate: 48M, loss ratio: 11, window size: 80
Feb 26 18:13:48 cs219-laptop kernel: [ 1478.968085] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 881, tx_rate: 48M, loss ratio: 10, window size: 80
Feb 26 18:13:48 cs219-laptop kernel: [ 1478.997738] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 961, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:48 cs219-laptop kernel: [ 1479.009666] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1041, tx_rate: 48M, loss ratio: 10, window size: 80
Feb 26 18:13:49 cs219-laptop kernel: [ 1479.025979] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1121, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:13:49 cs219-laptop kernel: [ 1479.037250] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1201, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:49 cs219-laptop kernel: [ 1479.051973] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1281, tx_rate: 48M, loss ratio: 12, window size: 80
Feb 26 18:13:49 cs219-laptop kernel: [ 1479.067849] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1361, tx_rate: 48M, loss ratio: 14, window size: 80
Feb 26 18:13:49 cs219-laptop kernel: [ 1479.084221] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1441, tx_rate: 48M, loss ratio: 8, window size: 80
Feb 26 18:13:50 cs219-laptop kernel: [ 1479.108704] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1521, tx_rate: 48M, loss ratio: 19, window size: 80
Feb 26 18:13:50 cs219-laptop kernel: [ 1479.117683] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1601, tx_rate: 48M, loss ratio: 8, window size: 80
Feb 26 18:13:50 cs219-laptop kernel: [ 1479.123692] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1681, tx_rate: 48M, loss ratio: 8, window size: 80
Feb 26 18:13:50 cs219-laptop kernel: [ 1479.136045] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1761, tx_rate: 48M, loss ratio: 9, window size: 80
Feb 26 18:13:50 cs219-laptop kernel: [ 1479.143752] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1841, tx_rate: 48M, loss ratio: 18, window size: 80
Feb 26 18:13:50 cs219-laptop kernel: [ 1479.150119] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 1921, tx_rate: 48M, loss ratio: 16, window size: 80
Feb 26 18:13:51 cs219-laptop kernel: [ 1479.157207] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2001, tx_rate: 48M, loss ratio: 5, window size: 80
Feb 26 18:13:51 cs219-laptop kernel: [ 1479.169167] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2081, tx_rate: 48M, loss ratio: 13, window size: 80
Feb 26 18:13:51 cs219-laptop kernel: [ 1479.177500] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2161, tx_rate: 48M, loss ratio: 20, window size: 80
Feb 26 18:13:51 cs219-laptop kernel: [ 1479.184413] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2241, tx_rate: 36M, loss ratio: 25, window size: 50
Feb 26 18:13:51 cs219-laptop kernel: [ 1479.190585] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2291, tx_rate: 36M, loss ratio: 18, window size: 50
Feb 26 18:13:51 cs219-laptop kernel: [ 1479.194330] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2341, tx_rate: 36M, loss ratio: 12, window size: 50
Feb 26 18:13:52 cs219-laptop kernel: [ 1479.201021] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2391, tx_rate: 36M, loss ratio: 23, window size: 50
Feb 26 18:13:52 cs219-laptop kernel: [ 1479.208384] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2441, tx_rate: 36M, loss ratio: 19, window size: 50
Feb 26 18:13:52 cs219-laptop kernel: [ 1479.214407] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2491, tx_rate: 36M, loss ratio: 27, window size: 50
Feb 26 18:13:52 cs219-laptop kernel: [ 1479.220328] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2541, tx_rate: 36M, loss ratio: 20, window size: 50
Feb 26 18:13:53 cs219-laptop kernel: [ 1479.231033] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2591, tx_rate: 36M, loss ratio: 15, window size: 50
Feb 26 18:13:53 cs219-laptop kernel: [ 1479.237774] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2641, tx_rate: 36M, loss ratio: 16, window size: 50
Feb 26 18:13:53 cs219-laptop kernel: [ 1479.243744] rraa_mod: 06:20:a6:57:ff:32 : tx_count: 2691, tx_rate: 36M, loss ratio: 15, window size: 50
