output format
<time> <tx rate>

18:13:46 1, 54M,
18:13:46 81, 48M,
18:13:46 161, 48M,
18:13:47 241, 48M,
18:13:47 321, 48M,
18:13:47 401, 48M,
18:13:47 481, 48M,
18:13:47 561, 48M,
18:13:47 641, 48M,
18:13:48 721, 48M,
18:13:48 801, 48M,
18:13:48 881, 48M,
18:13:48 961, 48M,
18:13:48 1041, 48M,
18:13:49 1121, 48M,
18:13:49 1201, 48M,
18:13:49 1281, 48M,
18:13:49 1361, 48M,
18:13:49 1441, 48M,
18:13:50 1521, 48M,
18:13:50 1601, 48M,
18:13:50 1681, 48M,
18:13:50 1761, 48M,
18:13:50 1841, 48M,
18:13:50 1921, 48M,
18:13:51 2001, 48M,
18:13:51 2081, 48M,
18:13:51 2161, 48M,
18:13:51 2241, 36M,
18:13:51 2291, 36M,
18:13:51 2341, 36M,
18:13:52 2391, 36M,
18:13:52 2441, 36M,
18:13:52 2491, 36M,
18:13:52 2541, 36M,
18:13:53 2591, 36M,
18:13:53 2641, 36M,
18:13:53 2691, 36M,
18:13:53 2741, 48M,
18:13:53 2821, 48M,
18:13:53 2901, 48M,
18:13:53 2981, 48M,
18:13:54 3061, 48M,
18:13:54 3141, 48M,
18:13:54 3221, 48M,
18:13:54 3301, 48M,
18:13:54 3381, 48M,
18:13:54 3461, 48M,
18:13:55 3541, 48M,
18:13:55 3621, 48M,
18:13:55 3701, 48M,
18:13:55 3781, 48M,
18:13:55 3861, 48M,
18:13:55 3941, 48M,
18:13:56 4021, 48M,
18:13:56 4101, 48M,
18:13:56 4181, 48M,
18:13:56 4261, 48M,
18:13:56 4341, 48M,
18:13:56 4421, 48M,
18:13:56 4501, 36M,
18:13:57 4551, 36M,
18:13:57 4601, 36M,
18:13:57 4651, 36M,
18:13:57 4701, 36M,
18:13:57 4751, 48M,
18:13:57 4831, 48M,
18:13:57 4911, 48M,
18:13:58 4991, 48M,
18:13:58 5071, 48M,
18:13:58 5151, 48M,
18:13:58 5231, 48M,
18:13:58 5311, 48M,
18:13:58 5391, 48M,
18:13:58 5471, 48M,
18:13:58 5551, 48M,
18:13:59 5631, 48M,
18:13:59 5711, 48M,
18:13:59 5791, 48M,
18:13:59 5871, 48M,
18:14:00 5951, 48M,
18:14:00 6031, 48M,
18:14:00 6111, 48M,
18:14:00 6191, 48M,
18:14:00 6271, 48M,
18:14:00 6351, 48M,
18:14:01 6431, 48M,
18:14:01 6511, 48M,
18:14:01 6591, 48M,
18:14:01 6671, 48M,
18:14:01 6751, 48M,
18:14:01 6831, 54M,
18:14:01 6911, 54M,
18:14:01 6991, 48M,
18:14:02 7071, 48M,
18:14:02 7151, 48M,
18:14:02 7231, 48M,
18:14:02 7311, 48M,
18:14:02 7391, 48M,
18:14:02 7471, 48M,
18:14:02 7551, 48M,
18:14:03 7631, 48M,
18:14:03 7711, 48M,
18:14:03 7791, 48M,
18:14:03 7871, 48M,
18:14:03 7951, 48M,
18:14:03 8031, 48M,
18:14:03 8111, 48M,
18:14:04 8191, 48M,
18:14:04 8271, 48M,
18:14:04 8351, 48M,
18:14:04 8431, 48M,
18:14:04 8511, 48M,
18:14:04 8591, 48M,
18:14:05 8671, 48M,
18:14:05 8751, 48M,
18:14:05 8831, 48M,
18:14:05 8911, 48M,
18:14:05 8991, 48M,
18:14:05 9071, 48M,
18:14:05 9151, 54M,
18:14:06 9231, 48M,
18:14:06 9311, 48M,
18:14:06 9391, 48M,
18:14:06 9471, 48M,
18:14:06 9551, 48M,
18:14:06 9631, 48M,
18:14:06 9711, 48M,
18:14:07 9791, 48M,
18:14:07 9871, 48M,
18:14:07 9951, 48M,
18:14:07 10031, 48M,
18:14:07 10111, 48M,
18:14:07 10191, 48M,
18:14:08 10271, 48M,
18:14:08 10351, 48M,
18:14:08 10431, 48M,
18:14:08 10511, 48M,
18:14:08 10591, 48M,
18:14:09 10671, 48M,
18:14:09 10751, 48M,
18:14:09 10831, 48M,
18:14:09 10911, 48M,
18:14:10 10991, 48M,
18:14:10 11071, 48M,
18:14:10 11151, 48M,
18:14:10 11231, 48M,
18:14:10 11311, 48M,
18:14:10 11391, 48M,
18:14:10 11471, 48M,
18:14:11 11551, 48M,
18:14:11 11631, 48M,
18:14:11 11711, 48M,
18:14:11 11791, 48M,
18:14:11 11871, 48M,
18:14:12 11951, 48M,
18:14:12 12031, 48M,
18:14:12 12111, 48M,
18:14:12 12191, 48M,
18:14:12 12271, 48M,
18:14:13 12351, 48M,
18:14:13 12431, 48M,
18:14:13 12511, 48M,
18:14:13 12591, 48M,
18:14:13 12671, 48M,
18:14:13 12751, 48M,
18:14:14 12831, 48M,
18:14:14 12911, 48M,
18:14:14 12991, 48M,
18:14:14 13071, 48M,
18:14:14 13151, 48M,
18:14:14 13231, 48M,
18:14:15 13311, 48M,
18:14:15 13391, 48M,
18:14:15 13471, 48M,
18:14:15 13551, 48M,
18:14:15 13631, 48M,
18:14:15 13711, 48M,
18:14:16 13791, 48M,
18:14:16 13871, 48M,
18:14:16 13951, 54M,
18:14:16 14031, 48M,
18:14:17 14111, 48M,
18:14:17 14191, 48M,
18:14:17 14271, 48M,
18:14:17 14351, 48M,
18:14:17 14431, 48M,
18:14:17 14511, 48M,
18:14:17 14591, 48M,
18:14:17 14671, 48M,
18:14:18 14751, 48M,
18:14:18 14831, 48M,
18:14:18 14911, 48M,
18:14:18 14991, 48M,
18:14:19 15071, 48M,
18:14:19 15151, 48M,
18:14:19 15231, 48M,
18:14:19 15311, 48M,
18:14:19 15391, 48M,
18:14:19 15471, 48M,
18:14:20 15551, 48M,
18:14:20 15631, 48M,
18:14:20 15711, 48M,
18:14:20 15791, 48M,
18:14:20 15871, 48M,
18:14:20 15951, 48M,
18:14:21 16031, 48M,
18:14:21 16111, 48M,
18:14:21 16191, 48M,
18:14:21 16271, 48M,
18:14:21 16351, 48M,
18:14:21 16431, 48M,
18:14:21 16511, 48M,
18:14:21 16591, 48M,
18:14:22 16671, 48M,
18:14:22 16751, 48M,
18:14:22 16831, 48M,
18:14:22 16911, 48M,
18:14:22 16991, 48M,
18:14:22 17071, 48M,
18:14:22 17151, 48M,
18:14:22 17231, 48M,
18:14:23 17311, 48M,
18:14:23 17391, 48M,
18:14:23 17471, 48M,
18:14:23 17551, 48M,
18:14:23 17631, 48M,
18:14:24 17711, 48M,
18:14:24 17791, 48M,
18:14:24 17871, 48M,
18:14:24 17951, 48M,
18:14:24 18031, 48M,
18:14:24 18111, 48M,
18:14:24 18191, 48M,
18:14:25 18271, 48M,
18:14:25 18351, 48M,
18:14:25 18431, 48M,
18:14:25 18511, 48M,
18:14:25 18591, 48M,
18:14:26 18671, 48M,
18:14:26 18751, 48M,
18:14:26 18831, 48M,
18:14:26 18911, 48M,
18:14:26 18991, 48M,
18:14:27 19071, 48M,
18:14:27 19151, 48M,
18:14:27 19231, 48M,
18:14:27 19311, 48M,
18:14:27 19391, 48M,
18:14:28 19471, 48M,
18:14:28 19551, 48M,
18:14:28 19631, 48M,
18:14:28 19711, 48M,
18:14:28 19791, 48M,
18:14:29 19871, 48M,
18:14:29 19951, 48M,
18:14:29 20031, 48M,
18:14:29 20111, 48M,
18:14:29 20191, 48M,
18:14:30 20271, 48M,
18:14:30 20351, 48M,
18:14:30 20431, 48M,
18:14:30 20511, 48M,
18:14:30 20591, 48M,
18:14:31 20671, 48M,
18:14:31 20751, 48M,
18:14:31 20831, 48M,
18:14:31 20911, 48M,
18:14:32 20991, 48M,
18:14:32 21071, 48M,
18:14:32 21151, 48M,
18:14:32 21231, 48M,
18:14:32 21311, 48M,
18:14:33 21391, 48M,
18:14:33 21471, 48M,
18:14:33 21551, 48M,
18:14:34 21631, 48M,
18:14:34 21711, 48M,
18:14:34 21791, 48M,
18:14:34 21871, 48M,
18:14:34 21951, 36M,
18:14:35 22001, 36M,
18:14:35 22051, 36M,
18:14:35 22101, 48M,
18:14:35 22181, 48M,
18:14:35 22261, 48M,
18:14:35 22341, 48M,
18:14:36 22421, 48M,
18:14:36 22501, 48M,
18:14:36 22581, 48M,
18:14:36 22661, 48M,
18:14:36 22741, 48M,
18:14:37 22821, 48M,
18:14:37 22901, 48M,
18:14:37 22981, 48M,
18:14:37 23061, 48M,
18:14:37 23141, 48M,
18:14:37 23221, 48M,
18:14:38 23301, 48M,
18:14:38 23381, 48M,
18:14:38 23461, 48M,
18:14:38 23541, 48M,
18:14:38 23621, 48M,
18:14:38 23701, 48M,
18:14:39 23781, 48M,
18:14:39 23861, 48M,
18:14:39 23941, 48M,
18:14:39 24021, 48M,
18:14:39 24101, 48M,
18:14:39 24181, 48M,
18:14:40 24261, 48M,
18:14:40 24341, 48M,
18:14:40 24421, 48M,
18:14:40 24501, 48M,
18:14:40 24581, 48M,
18:14:40 24661, 48M,
18:14:41 24741, 48M,
18:14:41 24821, 48M,
18:14:41 24901, 48M,
18:14:41 24981, 48M,
18:14:41 25061, 48M,
18:14:41 25141, 48M,
18:14:41 25221, 48M,
18:14:41 25301, 48M,
18:14:41 25381, 48M,
18:14:41 25461, 48M,
18:14:41 25541, 48M,
18:14:42 25621, 54M,
18:14:42 25701, 54M,
18:14:42 25781, 54M,
18:14:42 25861, 54M,
18:14:42 25941, 48M,
18:14:42 26021, 48M,
18:14:42 26101, 48M,
18:14:42 26181, 48M,
18:14:43 26261, 48M,
18:14:43 26341, 48M,
18:14:43 26421, 48M,
18:14:43 26501, 48M,
18:14:43 26581, 48M,
18:14:43 26661, 48M,
18:14:44 26741, 48M,
18:14:44 26821, 48M,
18:14:44 26901, 48M,
18:14:51 26981, 48M,
18:14:51 27061, 48M,
18:14:51 27141, 48M,
18:14:52 27221, 48M,
18:14:52 27301, 48M,
18:14:52 27381, 48M,
18:14:52 27461, 48M,
18:14:53 27541, 48M,
18:14:53 27621, 48M,
18:14:53 27701, 48M,
18:14:53 27781, 48M,
18:14:53 27861, 48M,
18:14:54 27941, 48M,
18:14:54 28021, 48M,
18:14:54 28101, 48M,
18:14:54 28181, 48M,
18:14:54 28261, 48M,
18:14:55 28341, 48M,
18:14:55 28421, 48M,
18:14:55 28501, 48M,
18:14:55 28581, 48M,
18:14:55 28661, 48M,
18:14:55 28741, 48M,
18:14:55 28821, 48M,
18:14:56 28901, 48M,
18:14:56 28981, 48M,
18:14:56 29061, 48M,
18:14:56 29141, 48M,
18:14:56 29221, 48M,
18:14:56 29301, 48M,
18:14:56 29381, 48M,
18:14:56 29461, 48M,
18:14:56 29541, 54M,
18:14:57 29621, 48M,
18:14:57 29701, 48M,
18:14:57 29781, 48M,
18:14:57 29861, 48M,
18:14:57 29941, 48M,
18:14:57 30021, 48M,
18:14:58 30101, 48M,
18:14:58 30181, 48M,
18:14:58 30261, 48M,
18:14:58 30341, 48M,
18:14:59 30421, 36M,
18:14:59 30471, 36M,
18:14:59 30521, 36M,
18:14:59 30571, 36M,
18:14:59 30621, 36M,
18:15:00 30671, 36M,
18:15:00 30721, 36M,
18:15:00 30771, 36M,
18:15:00 30821, 36M,
18:15:00 30871, 36M,
18:15:00 30921, 36M,
18:15:00 30971, 36M,
18:15:00 31021, 36M,
18:15:01 31071, 36M,
18:15:01 31121, 36M,
18:15:01 31171, 36M,
18:15:01 31221, 36M,
18:15:01 31271, 36M,
18:15:01 31321, 48M,
18:15:02 31401, 48M,
18:15:02 31481, 48M,
18:15:02 31561, 48M,
18:15:02 31641, 48M,
18:15:02 31721, 48M,
18:15:02 31801, 48M,
18:15:02 31881, 48M,
18:15:02 31961, 48M,
18:15:03 32041, 48M,
18:15:03 32121, 48M,
18:15:03 32201, 48M,
18:15:03 32281, 48M,
18:15:03 32361, 48M,
18:15:03 32441, 48M,
18:15:03 32521, 48M,
18:15:03 32601, 48M,
18:15:03 32681, 48M,
18:15:04 32761, 48M,
18:15:04 32841, 48M,
18:15:04 32921, 48M,
18:15:04 33001, 48M,
18:15:04 33081, 48M,
18:15:04 33161, 48M,
18:15:04 33241, 54M,
18:15:04 33321, 48M,
18:15:05 33401, 48M,
18:15:05 33481, 48M,
18:15:05 33561, 48M,
18:15:05 33641, 48M,
18:15:05 33721, 48M,
18:15:06 33801, 48M,
18:15:06 33881, 48M,
18:15:06 33961, 48M,
18:15:06 34041, 48M,
18:15:06 34121, 48M,
18:15:06 34201, 48M,
18:15:06 34281, 48M,
18:15:07 34361, 48M,
18:15:07 34441, 48M,
18:15:07 34521, 48M,
18:15:07 34601, 48M,
18:15:07 34681, 48M,
18:15:07 34761, 48M,
18:15:07 34841, 48M,
18:15:07 34921, 48M,
18:15:07 35001, 48M,
18:15:08 35081, 48M,
18:15:08 35161, 48M,
18:15:08 35241, 48M,
18:15:08 35321, 48M,
18:15:08 35401, 48M,
18:15:08 35481, 48M,
18:15:08 35561, 48M,
18:15:08 35641, 48M,
18:15:08 35721, 48M,
18:15:08 35801, 48M,
18:15:09 35881, 48M,
18:15:09 35961, 48M,
18:15:09 36041, 48M,
18:15:09 36121, 48M,
18:15:09 36201, 48M,
18:15:09 36281, 48M,
18:15:09 36361, 48M,
18:15:10 36441, 48M,
18:15:10 36521, 48M,
18:15:10 36601, 48M,
18:15:10 36681, 48M,
18:15:10 36761, 48M,
18:15:10 36841, 48M,
18:15:10 36921, 48M,
18:15:11 37001, 48M,
18:15:11 37081, 48M,
18:15:11 37161, 48M,
18:15:11 37241, 48M,
18:15:11 37321, 48M,
18:15:11 37401, 48M,
18:15:12 37481, 48M,
18:15:12 37561, 48M,
18:15:12 37641, 48M,
18:15:12 37721, 48M,
18:15:12 37801, 48M,
18:15:12 37881, 48M,
18:15:12 37961, 48M,
18:15:13 38041, 48M,
18:15:13 38121, 48M,
18:15:13 38201, 48M,
18:15:13 38281, 48M,
18:15:13 38361, 48M,
18:15:13 38441, 48M,
18:15:14 38521, 48M,
18:15:14 38601, 48M,
18:15:14 38681, 48M,
18:15:14 38761, 48M,
18:15:14 38841, 48M,
18:15:14 38921, 48M,
18:15:15 39001, 48M,
18:15:15 39081, 48M,
18:15:15 39161, 48M,
18:15:15 39241, 48M,
18:15:15 39321, 48M,
18:15:16 39401, 48M,
18:15:16 39481, 48M,
18:15:16 39561, 48M,
18:15:16 39641, 48M,
18:15:16 39721, 48M,
18:15:17 39801, 48M,
18:15:17 39881, 48M,
18:15:17 39961, 48M,
18:15:17 40041, 48M,
18:15:17 40121, 48M,
18:15:17 40201, 48M,
18:15:17 40281, 48M,
18:15:17 40361, 48M,
18:15:17 40441, 48M,
18:15:17 40521, 48M,
18:15:18 40601, 48M,
18:15:18 40681, 48M,
18:15:18 40761, 48M,
18:15:18 40841, 48M,
18:15:18 40921, 48M,
18:15:18 41001, 48M,
18:15:18 41081, 48M,
18:15:18 41161, 54M,
18:15:19 41241, 48M,
18:15:19 41321, 48M,
18:15:19 41401, 48M,
18:15:19 41481, 48M,
18:15:19 41561, 48M,
18:15:20 41641, 48M,
18:15:20 41721, 48M,
18:15:20 41801, 48M,
18:15:20 41881, 48M,
18:15:20 41961, 48M,
18:15:20 42041, 48M,
18:15:20 42121, 48M,
18:15:21 42201, 48M,
18:15:21 42281, 48M,
18:15:21 42361, 48M,
18:15:21 42441, 48M,
18:15:21 42521, 48M,
18:15:21 42601, 48M,
18:15:21 42681, 48M,
18:15:21 42761, 48M,
18:15:22 42841, 48M,
18:15:22 42921, 48M,
18:15:22 43001, 48M,
18:15:22 43081, 48M,
18:15:22 43161, 48M,
18:15:22 43241, 48M,
18:15:22 43321, 48M,
18:15:22 43401, 48M,
18:15:22 43481, 48M,
18:15:23 43561, 54M,
18:15:23 43641, 48M,
18:15:23 43721, 48M,
18:15:23 43801, 48M,
18:15:23 43881, 48M,
18:15:23 43961, 48M,
18:15:23 44041, 48M,
18:15:23 44121, 48M,
18:15:23 44201, 48M,
18:15:23 44281, 48M,
18:15:23 44361, 48M,
18:15:23 44441, 48M,
18:15:24 44521, 48M,
18:15:24 44601, 48M,
18:15:24 44681, 48M,
18:15:24 44761, 48M,
18:15:24 44841, 48M,
18:15:24 44921, 48M,
18:15:24 45001, 48M,
18:15:24 45081, 48M,
18:15:24 45161, 48M,
18:15:24 45241, 48M,
18:15:24 45321, 48M,
18:15:24 45401, 48M,
18:15:25 45481, 48M,
18:15:25 45561, 48M,
18:15:25 45641, 48M,
18:15:25 45721, 48M,
18:15:25 45801, 48M,
18:15:25 45881, 48M,
18:15:25 45961, 48M,
18:15:25 46041, 48M,
18:15:25 46121, 48M,
18:15:25 46201, 54M,
18:15:25 46281, 48M,
18:15:25 46361, 48M,
18:15:26 46441, 48M,
18:15:26 46521, 54M,
18:15:26 46601, 54M,
18:15:26 46681, 48M,
18:15:26 46761, 48M,
18:15:26 46841, 48M,
18:15:26 46921, 48M,
18:15:26 47001, 48M,
18:15:26 47081, 48M,
18:15:26 47161, 48M,
18:15:26 47241, 54M,
18:15:27 47321, 54M,
18:15:27 47401, 48M,
18:15:27 47481, 48M,
18:15:27 47561, 48M,
18:15:27 47641, 48M,
18:15:27 47721, 54M,
18:15:27 47801, 48M,
18:15:27 47881, 48M,
18:15:27 47961, 48M,
18:15:27 48041, 48M,
18:15:27 48121, 48M,
18:15:27 48201, 48M,
18:15:28 48281, 48M,
18:15:28 48361, 48M,
18:15:28 48441, 48M,
